Participant;hit;position;series;hammer;left/righthanded; x [mm];y [mm];distance [mm];timecode
;;;;;;;;;
13;1;3;1;gross;right;-0,5227218;-9,880204;9,894022;07.11.2023 17:15
13;2;3;1;gross;right;-1,112505;-17,00888;17,04522;07.11.2023 17:16
13;3;3;1;gross;right;6,64081;-4,995715;8,310086;07.11.2023 17:16
13;4;3;1;gross;right;11,62622;0,3896356;11,63275;07.11.2023 17:16
13;5;6;1;gross;right;-5,039232;-0,3463572;5,051121;07.11.2023 17:16
13;6;6;1;gross;right;11,53628;-16,86193;20,43062;07.11.2023 17:16
13;7;6;1;gross;right;10,38619;-3,992248;11,12704;07.11.2023 17:16
13;8;6;1;gross;right;2,609445;3,102922;4,054297;07.11.2023 17:16
13;9;6;1;gross;right;43,49907;-3,082567;43,60816;07.11.2023 17:16
13;10;3;2;gross;right;-3,706811;12,10514;12,65997;07.11.2023 17:16
13;11;3;2;gross;right;-0,9644988;3,690622;3,814571;07.11.2023 17:16
13;12;3;2;gross;right;6,1642;9,269118;11,13166;07.11.2023 17:16
13;13;3;2;gross;right;-1,798341;-2,07573;2,746395;07.11.2023 17:16
13;14;3;2;gross;right;8,408761;-0,9250561;8,459491;07.11.2023 17:16
13;15;6;2;gross;right;5,004513;-9,695194;10,91063;07.11.2023 17:16
13;16;6;2;gross;right;9,833574;-6,754521;11,92991;07.11.2023 17:16
13;17;6;2;gross;right;-10,42773;-0,6913779;10,45063;07.11.2023 17:16
13;18;6;2;gross;right;31,60527;-7,946775;32,58903;07.11.2023 17:16
13;19;1;1;klein;right;8,375717;-12,897;15,37808;07.11.2023 17:18
13;20;1;1;klein;right;7,909125;-21,42566;22,83885;07.11.2023 17:18
13;21;1;1;klein;right;4,929649;-14,12048;14,95625;07.11.2023 17:18
13;22;1;1;klein;right;5,92197;-8,325107;10,21651;07.11.2023 17:18
13;23;1;1;klein;right;12,82327;-10,8321;16,78602;07.11.2023 17:18
13;24;4;1;klein;right;-0,4695776;-11,51346;11,52303;07.11.2023 17:18
13;25;4;1;klein;right;5,169038;-13,54808;14,50067;07.11.2023 17:18
13;26;4;1;klein;right;10,73977;-10,76796;15,20827;07.11.2023 17:18
13;27;4;1;klein;right;-1,760605;-16,72793;16,82033;07.11.2023 17:18
13;28;4;1;klein;right;16,86722;-8,402851;18,84439;07.11.2023 17:18
13;29;1;2;klein;right;-10,39591;-8,764843;13,5977;07.11.2023 17:18
13;30;1;2;klein;right;0,9292144;-22,75697;22,77594;07.11.2023 17:18
13;31;1;2;klein;right;-1,29073;-10,59946;10,67776;07.11.2023 17:18
13;32;1;2;klein;right;3,840952;-10,22564;10,92321;07.11.2023 17:18
13;33;1;2;klein;right;-2,466246;-12,81887;13,05395;07.11.2023 17:18
13;34;4;2;klein;right;7,203693;-26,55981;27,51939;07.11.2023 17:18
13;35;4;2;klein;right;1,891987;-13,19175;13,32674;07.11.2023 17:18
13;36;4;2;klein;right;-3,910212;-16,93099;17,37666;07.11.2023 17:18
13;37;4;2;klein;right;5,698197;-12,4789;13,71832;07.11.2023 17:18
13;38;4;2;klein;right;-1,230669;-17,60519;17,64815;07.11.2023 17:18
13;39;2;1;mittel;right;12,7896;-8,449741;15,32879;07.11.2023 17:21
13;40;2;1;mittel;right;8,326574;-9,597418;12,70599;07.11.2023 17:21
13;41;2;1;mittel;right;6,359522;-5,705708;8,543923;07.11.2023 17:21
13;42;2;1;mittel;right;8,458287;-8,992269;12,34518;07.11.2023 17:21
13;43;2;1;mittel;right;-11,54671;-15,23801;19,11867;07.11.2023 17:21
13;44;5;1;mittel;right;9,701688;-1,97911;9,901496;07.11.2023 17:22
13;45;5;1;mittel;right;-9,508832;-10,41111;14,09997;07.11.2023 17:22
13;46;5;1;mittel;right;-1,090556;-1,824622;2,12569;07.11.2023 17:22
13;47;5;1;mittel;right;-0,5552171;-15,40697;15,41697;07.11.2023 17:22
13;48;5;1;mittel;right;-3,842947;-2,052171;4,356565;07.11.2023 17:22
13;49;2;2;mittel;right;-1,15082;0,4020677;1,219035;07.11.2023 17:22
13;50;2;2;mittel;right;1,824047;-3,709946;4,134108;07.11.2023 17:22
13;51;2;2;mittel;right;0,9555523;-10,81887;10,86098;07.11.2023 17:22
13;52;2;2;mittel;right;1,926857;-8,653471;8,865401;07.11.2023 17:22
13;53;2;2;mittel;right;3,904526;-4,511716;5,966649;07.11.2023 17:22
13;54;5;2;mittel;right;-1,7651;-10,92281;11,06451;07.11.2023 17:22
13;55;5;2;mittel;right;-9,231857;-12,2463;15,3362;07.11.2023 17:22
13;56;5;2;mittel;right;7,49693;-19,45533;20,84979;07.11.2023 17:22
13;57;5;2;mittel;right;9,534114;-18,21439;20,55878;07.11.2023 17:22
13;58;5;2;mittel;right;3,913314;-7,337894;8,316172;07.11.2023 17:22
