Participant;hit;position;series;hammer;left/righthanded; x [mm];y [mm];distance [mm];timecode
;;;;;;;;;
31;1;3;1;gross;right;14,38826;5,768388;15,50149;24.11.2023 14:43:03
31;2;3;1;gross;right;-4,37079;-2,536013;5,053234;24.11.2023 14:43:04
31;3;3;1;gross;right;10,13148;-0,7868245;10,16199;24.11.2023 14:43:05
31;4;3;1;gross;right;14,63096;3,985305;15,16402;24.11.2023 14:43:06
31;5;3;1;gross;right;18,74683;7,365924;20,14201;24.11.2023 14:43:08
31;6;6;1;gross;right;9,180285;5,367278;10,63416;24.11.2023 14:43:16
31;7;6;1;gross;right;1,379867;0,08617126;1,382555;24.11.2023 14:43:17
31;8;6;1;gross;right;15,60767;11,62697;19,46242;24.11.2023 14:43:19
31;9;6;1;gross;right;30,11392;-14,08064;33,24324;24.11.2023 14:43:20
31;10;6;1;gross;right;11,43521;-9,714154;15,00429;24.11.2023 14:43:22
31;11;3;2;gross;right;11,59734;3,544777;12,12698;24.11.2023 14:43:33
31;12;3;2;gross;right;11,80634;9,016329;14,85543;24.11.2023 14:43:34
31;13;3;2;gross;right;8,341247;3,126004;8,907766;24.11.2023 14:43:35
31;14;3;2;gross;right;0,6166151;-1,703195;1,811377;24.11.2023 14:43:36
31;15;3;2;gross;right;11,89889;10,30867;15,74332;24.11.2023 14:43:38
31;16;6;2;gross;right;4,055259;-18,64699;19,08286;24.11.2023 14:43:43
31;17;6;2;gross;right;9,0685;12,40118;15,36317;24.11.2023 14:43:45
31;18;6;2;gross;right;15,97057;23,27849;28,23025;24.11.2023 14:43:46
31;19;6;2;gross;right;-11,6761;41,7425;43,34475;24.11.2023 14:43:47
31;20;6;2;gross;right;-2,887944;3,378407;4,444531;24.11.2023 14:43:48
31;21;1;1;klein;right;-1,641782;8,237048;8,399072;24.11.2023 14:45:23
31;22;1;1;klein;right;-7,940846;15,0743;17,03795;24.11.2023 14:45:24
31;23;1;1;klein;right;7,713152;6,195733;9,893423;24.11.2023 14:45:24
31;24;1;1;klein;right;-0,1579542;7,578547;7,580193;24.11.2023 14:45:25
31;25;1;1;klein;right;9,062194;-4,669158;10,19433;24.11.2023 14:45:26
31;26;4;1;klein;right;6,009177;-4,038815;7,24032;24.11.2023 14:45:32
31;27;4;1;klein;right;-1,556896;0,5396789;1,64778;24.11.2023 14:45:33
31;28;4;1;klein;right;-15,20069;-10,10162;18,25113;24.11.2023 14:45:34
31;29;4;1;klein;right;11,97739;15,44427;19,5444;24.11.2023 14:45:35
31;30;4;1;klein;right;9,985706;-5,749275;11,52252;24.11.2023 14:45:36
31;31;1;2;klein;right;-4,26785;-6,889237;8,104082;24.11.2023 14:45:43
31;32;1;2;klein;right;8,833467;2,726958;9,244805;24.11.2023 14:45:44
31;33;1;2;klein;right;13,624;17,70613;22,34101;24.11.2023 14:45:44
31;34;1;2;klein;right;-2,058944;14,23792;14,38602;24.11.2023 14:45:45
31;35;1;2;klein;right;-5,863991;6,032432;8,412884;24.11.2023 14:45:46
31;36;4;2;klein;right;-1,723589;-24,20483;24,26612;24.11.2023 14:45:50
31;37;4;2;klein;right;15,00132;-23,26245;27,67998;24.11.2023 14:45:51
31;38;4;2;klein;right;-1,944764;6,473329;6,759149;24.11.2023 14:45:52
31;39;4;2;klein;right;11,53354;5,806474;12,91269;24.11.2023 14:45:53
31;40;4;2;klein;right;8,375476;11,96607;14,60601;24.11.2023 14:45:54
31;41;2;1;mittel;right;10,24538;15,55515;18,62607;24.11.2023 14:47:23
31;42;2;1;mittel;right;-6,785652;-1,322066;6,913243;24.11.2023 14:47:24
31;43;2;1;mittel;right;2,670517;2,895857;3,939245;24.11.2023 14:47:25
31;44;2;1;mittel;right;5,823091;11,53195;12,91876;24.11.2023 14:47:26
31;45;2;1;mittel;right;-5,799817;-0,6392244;5,834937;24.11.2023 14:47:27
31;46;5;1;mittel;right;15,17557;0,7681386;15,195;24.11.2023 14:47:31
31;47;5;1;mittel;right;10,80048;15,49039;18,88392;24.11.2023 14:47:32
31;48;5;1;mittel;right;2,630386;-1,602443;3,080057;24.11.2023 14:47:33
31;49;5;1;mittel;right;16,32231;9,360182;18,8157;24.11.2023 14:47:34
31;50;5;1;mittel;right;1,530066;6,18411;6,370582;24.11.2023 14:47:35
31;51;2;2;mittel;right;3,537337;15,76292;16,15495;24.11.2023 14:47:40
31;52;2;2;mittel;right;9,101577;7,897532;12,0503;24.11.2023 14:47:41
31;53;2;2;mittel;right;4,628834;-16,63752;17,26943;24.11.2023 14:47:42
31;54;2;2;mittel;right;3,362978;-4,543028;5,65232;24.11.2023 14:47:43
31;55;2;2;mittel;right;2,67814;15,90142;16,12537;24.11.2023 14:47:44
31;56;5;2;mittel;right;9,312335;-4,664183;10,41509;24.11.2023 14:47:49
31;57;5;2;mittel;right;-2,269476;2,413906;3,313226;24.11.2023 14:47:49
31;58;5;2;mittel;right;11,38636;2,547792;11,66792;24.11.2023 14:47:50
31;59;5;2;mittel;right;5,827991;10,92753;12,38452;24.11.2023 14:47:51
31;60;5;2;mittel;right;-2,507406;3,455171;4,269109;24.11.2023 14:47:52
