Participant;hit;position;series;hammer;left/righthanded; x [mm];y [mm];distance [mm];timecode
;;;;;;;;;
02;1;1;1;klein;right;0,8852308;17,90368;17,92555;27.10.2023 16:03:56
02;2;1;1;klein;right;3,29284;-4,922421;5,922248;27.10.2023 16:03:57
02;3;1;1;klein;right;9,382744;4,81273;10,54506;27.10.2023 16:03:58
02;4;1;1;klein;right;4,162166;3,051395;5,160876;27.10.2023 16:03:59
02;5;1;1;klein;right;-2,848811;5,116179;5,855854;27.10.2023 16:04:00
02;6;4;1;klein;right;1,696888;-2,597738;3,102849;27.10.2023 16:04:05
02;7;4;1;klein;right;9,020916;-3,61285;9,71749;27.10.2023 16:04:06
02;8;4;1;klein;right;5,886206;2,644914;6,453138;27.10.2023 16:04:07
02;9;4;1;klein;right;-14,43727;4,128013;15,01583;27.10.2023 16:04:08
02;10;4;1;klein;right;-47,42196;28,75119;55,45695;27.10.2023 16:04:09
02;11;1;2;klein;right;10,17085;16,80349;19,64188;27.10.2023 16:04:22
02;12;1;2;klein;right;5,865928;8,055987;9,965343;27.10.2023 16:04:30
02;13;1;2;klein;right;10,33888;16,30812;19,30925;27.10.2023 16:04:32
02;14;1;2;klein;right;-7,218412;8,925282;11,47894;27.10.2023 16:04:34
02;15;4;2;klein;right;5,958876;4,197718;7,288967;27.10.2023 16:04:44
02;16;4;2;klein;right;8,345824;-0,8360286;8,387593;27.10.2023 16:04:45
02;17;4;2;klein;right;23,07552;-6,330107;23,92802;27.10.2023 16:04:46
02;18;4;2;klein;right;5,928317;0,4931763;5,948795;27.10.2023 16:04:47
02;19;4;2;klein;right;17,18225;4,107144;17,6663;27.10.2023 16:04:48
02;20;3;1;gross;right;12,9244;8,643869;15,54853;27.10.2023 16:07:06
02;21;3;1;gross;right;15,62495;8,862086;17,96318;27.10.2023 16:07:07
02;22;3;1;gross;right;1,779335;15,40615;15,50856;27.10.2023 16:07:08
02;23;3;1;gross;right;-6,169684;2,339167;6,598235;27.10.2023 16:07:09
02;24;3;1;gross;right;5,523137;20,46455;21,19676;27.10.2023 16:07:11
02;25;6;1;gross;right;1,136454;-3,818156;3,983697;27.10.2023 16:07:24
02;26;6;1;gross;right;9,087969;2,584374;9,448289;27.10.2023 16:07:24
02;27;6;1;gross;right;10,81032;-7,753146;13,30317;27.10.2023 16:07:25
02;28;6;1;gross;right;6,355767;-8,160899;10,34389;27.10.2023 16:07:27
02;29;6;1;gross;right;4,400049;-0,2379745;4,40648;27.10.2023 16:07:28
02;30;3;2;gross;right;4,001177;-6,624104;7,738745;27.10.2023 16:07:37
02;31;3;2;gross;right;9,550594;3,273139;10,0959;27.10.2023 16:07:38
02;32;3;2;gross;right;7,501881;9,315865;11,96092;27.10.2023 16:07:39
02;33;3;2;gross;right;-3,607666;-15,85825;16,26343;27.10.2023 16:07:40
02;34;3;2;gross;right;19,58969;13,14878;23,59336;27.10.2023 16:07:42
02;35;6;2;gross;right;0,2839778;-13,97116;13,97405;27.10.2023 16:07:44
02;36;6;2;gross;right;6,366664;4,336496;7,703221;27.10.2023 16:07:45
02;37;6;2;gross;right;3,205152;-9,808073;10,31849;27.10.2023 16:07:46
02;38;6;2;gross;right;18,24098;-1,989697;18,34918;27.10.2023 16:07:47
02;39;6;2;gross;right;17,19942;-9,779378;19,78525;27.10.2023 16:07:48
02;40;2;1;mittel;right;-0,2058745;11,64827;11,65009;27.10.2023 16:10:14
02;41;2;1;mittel;right;-2,31661;-6,973301;7,348034;27.10.2023 16:10:15
02;42;2;1;mittel;right;7,853807;-0,4392271;7,866079;27.10.2023 16:10:16
02;43;2;1;mittel;right;-8,901027;-6,489474;11,01551;27.10.2023 16:10:17
02;44;2;1;mittel;right;-3,754715;-10,31384;10,97603;27.10.2023 16:10:18
02;45;5;1;mittel;right;3,284012;4,495371;5,567144;27.10.2023 16:10:22
02;46;5;1;mittel;right;0,6247253;0,1778096;0,6495368;27.10.2023 16:10:23
02;47;5;1;mittel;right;-5,07793;-12,94904;13,9091;27.10.2023 16:10:24
02;48;5;1;mittel;right;-1,691727;-10,93765;11,0677;27.10.2023 16:10:25
02;49;5;1;mittel;right;7,697152;4,464248;8,89807;27.10.2023 16:10:26
02;50;2;2;mittel;right;1,631777;7,470829;7,646959;27.10.2023 16:10:32
02;51;2;2;mittel;right;-1,102285;-2,222203;2,480568;27.10.2023 16:10:33
02;52;2;2;mittel;right;-0,7598268;-2,304274;2,426317;27.10.2023 16:10:34
02;53;2;2;mittel;right;6,37616;-5,793732;8,615262;27.10.2023 16:10:35
02;54;2;2;mittel;right;5,222348;1,66592;5,481624;27.10.2023 16:10:36
02;55;5;2;mittel;right;3,503959;-3,807558;5,174478;27.10.2023 16:10:40
02;56;5;2;mittel;right;7,17635;-11,12077;13,23524;27.10.2023 16:10:41
02;57;5;2;mittel;right;12,39628;-3,026717;12,76044;27.10.2023 16:10:42
02;58;5;2;mittel;right;-7,856586;4,562435;9,085249;27.10.2023 16:10:43
02;59;5;2;mittel;right;6,234131;-5,294623;8,179085;27.10.2023 16:10:44
02;60;5;2;mittel;right;-33,89075;-47,66036;58,48156;27.10.2023 16:10:50
