Participant;hit;position;series;hammer;left/righthanded; x [mm];y [mm];distance [mm];timecode
;;;;;;;;;
06;1;2;1;mittel;right;13,47812;-2,436821;13,69664;01.11.2023 09:41:49
06;2;2;1;mittel;right;23,14403;13,49345;26,79028;01.11.2023 09:41:50
06;3;2;1;mittel;right;6,923473;-2,526936;7,370203;01.11.2023 09:41:51
06;4;2;1;mittel;right;9,770742;0,6298464;9,791022;01.11.2023 09:41:52
06;5;2;1;mittel;right;12,02132;-10,88969;16,22028;01.11.2023 09:41:52
06;6;5;1;mittel;right;22,08824;-0,7282969;22,10024;01.11.2023 09:41:58
06;7;5;1;mittel;right;7,918709;-10,39135;13,06468;01.11.2023 09:41:59
06;8;5;1;mittel;right;8,280581;-21,48222;23,02289;01.11.2023 09:42:00
06;9;5;1;mittel;right;23,67308;-22,13762;32,41125;01.11.2023 09:42:01
06;10;5;1;mittel;right;12,87932;-13,74666;18,8374;01.11.2023 09:42:02
06;11;2;2;mittel;right;18,50362;-0,7081578;18,51717;01.11.2023 09:42:08
06;12;2;2;mittel;right;11,67761;-9,925178;15,32565;01.11.2023 09:42:09
06;13;2;2;mittel;right;6,372057;-9,429659;11,38075;01.11.2023 09:42:10
06;14;2;2;mittel;right;7,633288;-1,096067;7,711579;01.11.2023 09:42:11
06;15;2;2;mittel;right;-16,84082;-4,826304;17,51875;01.11.2023 09:42:12
06;16;5;2;mittel;right;13,64024;-12,19638;18,29775;01.11.2023 09:42:17
06;17;5;2;mittel;right;17,28287;-11,21829;20,60455;01.11.2023 09:42:18
06;18;5;2;mittel;right;8,977841;-17,65862;19,8098;01.11.2023 09:42:19
06;19;5;2;mittel;right;17,95617;-25,13811;30,89253;01.11.2023 09:42:20
06;20;5;2;mittel;right;20,80792;-22,36206;30,54557;01.11.2023 09:42:21
06;21;1;1;klein;right;22,11122;5,477278;22,77953;01.11.2023 09:44:15
06;22;1;1;klein;right;14,03201;12,77718;18,97772;01.11.2023 09:44:16
06;23;1;1;klein;right;6,807571;1,98298;7,090503;01.11.2023 09:44:17
06;24;1;1;klein;right;5,135946;2,310983;5,631926;01.11.2023 09:44:18
06;25;1;1;klein;right;9,626408;-14,67599;17,55142;01.11.2023 09:44:19
06;26;4;1;klein;right;17,90039;-4,72926;18,51459;01.11.2023 09:44:23
06;27;4;1;klein;right;12,14526;-18,03971;21,74715;01.11.2023 09:44:23
06;28;4;1;klein;right;26,5779;-27,38215;38,15976;01.11.2023 09:44:24
06;29;4;1;klein;right;-6,409455;-12,18238;13,76559;01.11.2023 09:44:25
06;30;4;1;klein;right;7,482088;11,82866;13,99639;01.11.2023 09:44:32
06;31;1;2;klein;right;10,67552;-25,43293;27,58261;01.11.2023 09:44:45
06;32;1;2;klein;right;11,3841;-4,592066;12,27537;01.11.2023 09:44:45
06;33;1;2;klein;right;-6,23053;0,7035183;6,270123;01.11.2023 09:44:46
06;34;1;2;klein;right;12,90432;-2,992865;13,24684;01.11.2023 09:44:47
06;35;1;2;klein;right;19,36226;-16,59974;25,50389;01.11.2023 09:44:48
06;36;4;2;klein;right;4,663893;-16,15524;16,81498;01.11.2023 09:44:53
06;37;4;2;klein;right;16,24123;-20,37289;26,05441;01.11.2023 09:44:54
06;38;4;2;klein;right;11,34283;-35,81329;37,56663;01.11.2023 09:44:54
06;39;4;2;klein;right;3,315325;-11,51384;11,98165;01.11.2023 09:44:55
06;40;4;2;klein;right;3,566876;-11,75948;12,28853;01.11.2023 09:44:56
06;41;3;1;gross;right;0,1675855;-1,241522;1,252782;01.11.2023 09:46:44
06;42;3;1;gross;right;14,2615;-2,856504;14,54476;01.11.2023 09:46:46
06;43;3;1;gross;right;9,263204;-10,88858;14,29574;01.11.2023 09:46:47
06;44;3;1;gross;right;8,392093;-14,4989;16,75247;01.11.2023 09:46:48
06;45;3;1;gross;right;4,72225;-21,26505;21,78307;01.11.2023 09:46:49
06;46;6;1;gross;right;17,58902;-16,64219;24,21438;01.11.2023 09:46:54
06;47;6;1;gross;right;-4,873837;1,581552;5,124022;01.11.2023 09:46:55
06;48;6;1;gross;right;18,62826;-23,38089;29,89445;01.11.2023 09:46:57
06;49;6;1;gross;right;8,971833;-23,02483;24,71107;01.11.2023 09:46:58
06;50;6;1;gross;right;11,60139;-11,32559;16,21299;01.11.2023 09:47:01
06;51;3;2;gross;right;9,559903;-1,932277;9,753227;01.11.2023 09:47:12
06;52;3;2;gross;right;0,8469527;-14,84285;14,86699;01.11.2023 09:47:13
06;53;3;2;gross;right;5,46783;-10,18939;11,56378;01.11.2023 09:47:14
06;54;3;2;gross;right;12,26902;-18,78654;22,43798;01.11.2023 09:47:15
06;55;3;2;gross;right;5,702642;-1,101933;5,808131;01.11.2023 09:47:16
06;56;6;2;gross;right;14,31952;-11,99711;18,68099;01.11.2023 09:47:21
06;57;6;2;gross;right;13,6701;-2,43037;13,88446;01.11.2023 09:47:22
06;58;6;2;gross;right;22,15998;-12,58715;25,48531;01.11.2023 09:47:23
06;59;6;2;gross;right;22,03082;-26,84297;34,7261;01.11.2023 09:47:24
06;60;6;2;gross;right;6,442252;-2,236789;6,819518;01.11.2023 09:47:26
