Participant;hit;position;series;hammer;left/righthanded; x [mm];y [mm];distance [mm];timecode
;;;;;;;;;
26;1;1;1;klein;right;-3,761265;2,125014;4,320045;17.11.2023 13:32:40
26;2;1;1;klein;right;-2,937329;4,081273;5,028389;17.11.2023 13:32:41
26;3;1;1;klein;right;-0,9499049;6,492115;6,56124;17.11.2023 13:32:42
26;4;1;1;klein;right;-0,3689862;1,692592;1,732345;17.11.2023 13:32:43
26;5;1;1;klein;right;-9,164123;-2,290839;9,446115;17.11.2023 13:32:44
26;6;4;1;klein;right;4,208257;5,286682;6,757102;17.11.2023 13:32:48
26;7;4;1;klein;right;1,683729;-0,336269;1,71698;17.11.2023 13:32:49
26;8;4;1;klein;right;6,035285;5,921921;8,455401;17.11.2023 13:32:51
26;9;4;1;klein;right;-2,041894;4,459354;4,904607;17.11.2023 13:32:52
26;10;4;1;klein;right;2,894589;-1,38206;3,207606;17.11.2023 13:32:53
26;11;1;2;klein;right;0,2221401;6,812492;6,816113;17.11.2023 13:33:00
26;12;1;2;klein;right;5,426855;-3,507979;6,461941;17.11.2023 13:33:01
26;13;1;2;klein;right;-1,708673;-5,335935;5,602836;17.11.2023 13:33:02
26;14;1;2;klein;right;-1,529708;0,2294021;1,546814;17.11.2023 13:33:03
26;15;1;2;klein;right;-5,560905;1,839095;5,857126;17.11.2023 13:33:04
26;16;4;2;klein;right;-0,7265053;4,997074;5,04961;17.11.2023 13:33:09
26;17;4;2;klein;right;0,7117127;-0,2783317;0,7642012;17.11.2023 13:33:10
26;18;4;2;klein;right;2,836863;-6,322632;6,929897;17.11.2023 13:33:12
26;19;4;2;klein;right;5,731171;4,847661;7,506406;17.11.2023 13:33:13
26;20;4;2;klein;right;2,826638;0,5717916;2,883891;17.11.2023 13:33:14
26;21;3;1;gross;right;-7,847552;1,199031;7,938624;17.11.2023 13:34:34
26;22;3;1;gross;right;-3,483303;13,51717;13,95877;17.11.2023 13:34:35
26;23;3;1;gross;right;0,06442016;6,852994;6,853297;17.11.2023 13:34:36
26;24;3;1;gross;right;-1,277453;-4,451828;4,631485;17.11.2023 13:34:37
26;25;3;1;gross;right;-1,156325;-2,373249;2,639962;17.11.2023 13:34:38
26;26;6;1;gross;right;2,540804;-0,8099051;2,666764;17.11.2023 13:34:42
26;27;6;1;gross;right;0,1460799;-1,358183;1,366017;17.11.2023 13:34:45
26;28;6;1;gross;right;3,714014;3,938621;5,41356;17.11.2023 13:34:47
26;29;6;1;gross;right;1,636873;-0,1967306;1,648653;17.11.2023 13:34:48
26;30;6;1;gross;right;-1,756816;-5,982347;6,234972;17.11.2023 13:34:50
26;31;3;2;gross;right;-3,821207;7,542599;8,455319;17.11.2023 13:35:00
26;32;3;2;gross;right;-2,32407;2,336337;3,295417;17.11.2023 13:35:01
26;33;3;2;gross;right;0,8746597;7,746583;7,795805;17.11.2023 13:35:02
26;34;3;2;gross;right;-0,9261901;-15,90297;15,92992;17.11.2023 13:35:04
26;35;3;2;gross;right;-3,130312;0,7788064;3,225739;17.11.2023 13:35:08
26;36;3;2;gross;right;-4,786913;1,104043;4,91258;17.11.2023 13:35:09
26;37;6;2;gross;right;-5,1694;-0,9168481;5,250076;17.11.2023 13:35:15
26;38;6;2;gross;right;0,8252614;1,09018;1,367314;17.11.2023 13:35:17
26;39;6;2;gross;right;1,051108;8,317757;8,383907;17.11.2023 13:35:18
26;40;6;2;gross;right;-1,055214;0,02154072;1,055434;17.11.2023 13:35:19
26;41;6;2;gross;right;1,925833;4,991445;5,35008;17.11.2023 13:35:21
26;42;2;1;mittel;right;3,430639;-0,4900084;3,465457;17.11.2023 13:36:39
26;43;2;1;mittel;right;-0,9666835;0,1411906;0,97694;17.11.2023 13:36:41
26;44;2;1;mittel;right;-5,143076;5,903448;7,829556;17.11.2023 13:36:42
26;45;2;1;mittel;right;-7,365056;3,173927;8,019841;17.11.2023 13:36:44
26;46;2;1;mittel;right;0,7905493;0,3121791;0,8499553;17.11.2023 13:36:45
26;47;5;1;mittel;right;2,279902;8,222775;8,532993;17.11.2023 13:36:49
26;48;5;1;mittel;right;1,05279;5,946517;6,038993;17.11.2023 13:36:50
26;49;5;1;mittel;right;1,664147;8,660757;8,819189;17.11.2023 13:36:52
26;50;5;1;mittel;right;-4,467708;3,670131;5,781892;17.11.2023 13:36:53
26;51;5;1;mittel;right;-3,856423;3,93661;5,510798;17.11.2023 13:36:54
26;52;2;2;mittel;right;3,757191;-0,4458523;3,783552;17.11.2023 13:37:00
26;53;2;2;mittel;right;1,901286;3,737523;4,193324;17.11.2023 13:37:01
26;54;2;2;mittel;right;2,293307;0,06750018;2,2943;17.11.2023 13:37:02
26;55;2;2;mittel;right;-3,077739;-1,004553;3,23753;17.11.2023 13:37:03
26;56;2;2;mittel;right;-3,486688;-4,289138;5,52754;17.11.2023 13:37:05
26;57;5;2;mittel;right;3,793331;5,382811;6,585136;17.11.2023 13:37:09
26;58;5;2;mittel;right;6,645171;4,661817;8,117317;17.11.2023 13:37:10
26;59;5;2;mittel;right;1,215698;0,6960325;1,400851;17.11.2023 13:37:12
26;60;5;2;mittel;right;10,29351;1,19361;10,36249;17.11.2023 13:37:13
26;61;5;2;mittel;right;-1,454093;2,975701;3,311976;17.11.2023 13:37:14
