Participant;hit;position;series;hammer;left/righthanded; x [mm];y [mm];distance [mm];timecode
;;;;;;;;;
27;1;2;1;mittel;right;2,3754;2,153277;3,206108;17.11.2023 14:42:06
27;2;2;1;mittel;right;-0,806146;2,328043;2,463667;17.11.2023 14:42:08
27;3;2;1;mittel;right;1,961377;0,8675489;2,144678;17.11.2023 14:42:09
27;4;2;1;mittel;right;9,230083;7,361893;11,80643;17.11.2023 14:42:13
27;5;2;1;mittel;right;14,52977;-5,022557;15,37336;17.11.2023 14:42:14
27;6;2;1;mittel;right;7,682242;-21,58224;22,90873;17.11.2023 14:42:15
27;7;2;1;mittel;right;-4,528623;28,03499;28,3984;17.11.2023 14:42:16
27;8;2;1;mittel;right;3,693744;-2,617458;4,527122;17.11.2023 14:42:17
27;9;5;1;mittel;right;-0,7779585;9,85198;9,882648;17.11.2023 14:42:24
27;10;5;1;mittel;right;0,9300069;-11,84435;11,88081;17.11.2023 14:42:25
27;11;5;1;mittel;right;8,994387;-2,079525;9,231653;17.11.2023 14:42:26
27;12;5;1;mittel;right;8,030027;0,6184084;8,053804;17.11.2023 14:42:27
27;13;5;1;mittel;right;7,577179;-8,778008;11,59599;17.11.2023 14:42:29
27;14;2;2;mittel;right;1,50642;9,057477;9,181895;17.11.2023 14:42:35
27;15;2;2;mittel;right;12,44891;-2,944316;12,79235;17.11.2023 14:42:36
27;16;2;2;mittel;right;8,099825;-11,901;14,39587;17.11.2023 14:42:37
27;17;2;2;mittel;right;3,174396;-7,383733;8,037183;17.11.2023 14:42:38
27;18;2;2;mittel;right;8,700132;-5,314142;10,19472;17.11.2023 14:42:40
27;19;5;2;mittel;right;-1,008415;-10,34353;10,39257;17.11.2023 14:42:43
27;20;5;2;mittel;right;-0,4966387;3,598272;3,632384;17.11.2023 14:42:45
27;21;5;2;mittel;right;5,794943;-9,592665;11,20717;17.11.2023 14:42:46
27;22;5;2;mittel;right;6,250293;-15,92406;17,10678;17.11.2023 14:42:48
27;23;5;2;klein;right;115,3261;-8,60587;115,6467;17.11.2023 14:43:59
27;24;1;1;klein;right;-4,015119;2,136057;4,547958;17.11.2023 14:44:38
27;25;1;1;klein;right;9,528421;21,89775;23,881;17.11.2023 14:44:40
27;26;1;1;klein;right;-5,894967;13,34568;14,58965;17.11.2023 14:44:41
27;27;1;1;klein;right;19,55795;-6,387105;20,57446;17.11.2023 14:44:44
27;28;1;1;klein;right;8,507905;-16,96681;18,98044;17.11.2023 14:44:45
27;29;4;1;klein;right;2,733627;-1,879522;3,317427;17.11.2023 14:44:57
27;30;4;1;klein;right;6,697912;-3,001052;7,339506;17.11.2023 14:44:59
27;31;4;1;klein;right;-5,122016;-11,19117;12,30761;17.11.2023 14:45:00
27;32;4;1;klein;right;-6,887712;-13,63131;15,27263;17.11.2023 14:45:02
27;33;4;1;klein;right;1,809528;-4,206287;4,579;17.11.2023 14:45:04
27;34;1;2;klein;right;11,63763;0,06030184;11,63779;17.11.2023 14:45:10
27;35;1;2;klein;right;6,402679;-17,58036;18,70998;17.11.2023 14:45:11
27;36;1;2;klein;right;6,521897;-6,028776;8,881513;17.11.2023 14:45:12
27;37;1;2;klein;right;-4,952116;-19,49765;20,1167;17.11.2023 14:45:14
27;38;1;2;klein;right;7,881822;-17,39743;19,09957;17.11.2023 14:45:16
27;39;4;2;klein;right;9,286623;10,95459;14,36121;17.11.2023 14:45:20
27;40;4;2;klein;right;9,108239;-14,44726;17,07874;17.11.2023 14:45:22
27;41;4;2;klein;right;-2,001855;-4,749805;5,154422;17.11.2023 14:45:23
27;42;4;2;klein;right;3,151952;6,032911;6,806675;17.11.2023 14:45:25
27;43;4;2;klein;right;2,743923;-12,69204;12,98526;17.11.2023 14:45:26
27;44;3;1;gross;right;-0,2098276;14,79419;14,79568;17.11.2023 14:46:28
27;45;3;1;gross;right;-2,868297;-6,986763;7,552614;17.11.2023 14:46:30
27;46;3;1;gross;right;4,146242;5,038756;6,525365;17.11.2023 14:46:32
27;47;3;1;gross;right;11,98311;-30,64605;32,90554;17.11.2023 14:46:33
27;48;3;1;gross;right;6,199404;-19,50311;20,4647;17.11.2023 14:46:35
27;49;6;1;gross;right;7,11491;-6,065077;9,349176;17.11.2023 14:46:50
27;50;6;1;gross;right;4,61119;-0,6846898;4,661746;17.11.2023 14:46:51
27;51;6;1;gross;right;7,323219;-8,165478;10,96834;17.11.2023 14:46:53
27;52;6;1;gross;right;-0,1204826;1,846488;1,850414;17.11.2023 14:46:54
27;53;6;1;gross;right;-5,87095;1,594799;6,083703;17.11.2023 14:47:00
27;54;3;2;gross;right;-6,881144;13,88286;15,49464;17.11.2023 14:47:06
27;55;3;2;gross;right;5,221428;-10,31781;11,56376;17.11.2023 14:47:09
27;56;3;2;gross;right;-12,79372;-9,623787;16,00927;17.11.2023 14:47:11
27;57;6;2;gross;right;-3,583426;13,11899;13,59959;17.11.2023 14:47:23
27;58;6;2;gross;right;-0,3662317;-1,880909;1,916232;17.11.2023 14:47:24
27;59;6;2;gross;right;-1,712512;2,779446;3,264661;17.11.2023 14:47:28
27;60;6;2;gross;right;1,706003;0,4022526;1,752785;17.11.2023 14:47:44
27;61;6;2;gross;right;8,350565;-1,800337;8,542433;17.11.2023 14:47:45
27;62;6;2;gross;right;11,7769;2,461722;12,03143;17.11.2023 14:47:47
