timediff; x; y; z; forward_x; forward_y; forward_z
11,3667182;-0,2351765;0,8618435;1,590071;-0,03464284;-0,3349743;-0,9415902
11,6311154;0;0;0;0;0;1
11,6311154;0;0;0;0;0;1
11,6331091;-0,3420616;0,9444538;1,606375;0,0475052;-0,4507011;-0,8914101
11,8971462;0;0;0;0;0;1
11,8981426;0;0;0;0;0;1
11,9001363;-0,4938689;1,057168;1,584543;0,2656024;-0,5712813;-0,7765906
12,1640351;0;0;0;0;0;1
12,1640351;0;0;0;0;0;1
12,1670254;-0,5843731;1,257158;1,620187;0,1856861;-0,8423276;-0,5059696
12,4302478;0;0;0;0;0;1
12,4309118;0;0;0;0;0;1
12,4329055;-0,6393617;1,426465;1,599085;0,1476573;-0,8370206;-0,5268719
12,6970765;0;0;0;0;0;1
12,6970765;0;0;0;0;0;1
12,7000663;-0,6593251;1,530226;1,598353;0,1235216;-0,7958747;-0,5927276
13,0201544;0;0;0;0;0;1
13,0201544;0;0;0;0;0;1
13,0221481;-0,7089474;1,540048;1,49726;0,2504545;-0,5394325;-0,8039188
13,4195524;0;0;0;0;0;1
13,4205492;0;0;0;0;0;1
13,4225429;-0,8254916;1,562583;1,386734;0,2656315;-0,4553416;-0,849767
13,7532377;0;0;0;0;0;1
13,7532377;0;0;0;0;0;1
13,7552314;-0,8506317;1,568181;1,30878;0,3088478;-0,4017181;-0,8621113
14,0195585;0;0;0;0;0;1
14,0195585;0;0;0;0;0;1
14,0225492;-0,8240015;1,563662;1,23772;0,2852959;-0,4347483;-0,8541665
14,2858105;0;0;0;0;0;1
14,2858105;0;0;0;0;0;1
14,2887969;-0,7481688;1,571743;1,135389;0,1900882;-0,3788306;-0,9057339
14,5519162;0;0;0;0;0;1
14,5529129;0;0;0;0;0;1
14,5549066;-0,6629525;1,581334;1,033648;0,3193274;-0,3779195;-0,8690265
14,8190331;0;0;0;0;0;1
14,8190331;0;0;0;0;0;1
14,8220233;-0,641043;1,578381;0,9186193;0,4070573;-0,3847288;-0,8284253
15,0630249;0;0;0;0;0;1
15,0640212;0;0;0;0;0;1
15,0660149;-0,6480442;1,582114;0,8060954;0,5665548;-0,3644805;-0,739033
15,306551;0;0;0;0;0;1
15,3075474;0;0;0;0;0;1
15,3095411;-0,6391641;1,5925;0,7283913;0,832557;-0,4137593;-0,3683094
15,5737061;0;0;0;0;0;1
15,5737061;0;0;0;0;0;1
15,5766924;-0,6259366;1,595434;0,7183101;0,9235362;-0,3648295;0,1182397
15,8414067;0;0;0;0;0;1
15,8414067;0;0;0;0;0;1
15,8443967;-0,5782936;1,598997;0,7411985;0,9125617;-0,2826737;0,2955111
16,02812;0;0;0;0;0;1
16,029117;0;0;0;0;0;1
16,0311107;-0,5370277;1,600476;0,7870287;0,8337523;-0,2582726;0,4880087
16,2404195;0;0;0;0;0;1
16,2404195;0;0;0;0;0;1
16,2434032;-0,5004676;1,5956;0,8276329;0,5899748;-0,2858164;0,7551416
16,5065115;0;0;0;0;0;1
16,5065115;0;0;0;0;0;1
16,5095016;-0,4837554;1,595565;0,8173132;0,2800545;-0,2607957;0,9238805
16,7732603;0;0;0;0;0;1
16,7742569;0;0;0;0;0;1
16,7772473;-0,4391063;1,616193;0,7535558;0,1268152;-0,1789777;0,9756459
16,9835756;0;0;0;0;0;1
16,984572;0;0;0;0;0;1
16,987567;-0,4137093;1,621807;0,7113801;-0,03511969;-0,138891;0,9896848
17,2514288;0;0;0;0;0;1
17,2514288;0;0;0;0;0;1
17,2544195;-0,4069367;1,623827;0,678297;-0,2613803;-0,1327896;0,9560582
17,5180106;0;0;0;0;0;1
17,5180106;0;0;0;0;0;1
17,5210052;-0,4723226;1,616144;0,6706415;-0,5134139;-0,1819353;0,8386332
17,7843832;0;0;0;0;0;1
17,7843832;0;0;0;0;0;1
17,7873738;-0,5490137;1,618958;0,6528973;-0,7824353;-0,1470122;0,6051302
18,051081;0;0;0;0;0;1
18,051081;0;0;0;0;0;1
18,0540708;-0,5926992;1,616213;0,6297837;-0,9469491;-0,14064;0,2889773
18,3175351;0;0;0;0;0;1
18,3175351;0;0;0;0;0;1
18,3205254;-0,6017275;1,611034;0,6149424;-0,9663199;-0,1815574;0,1823807
18,5833458;0;0;0;0;0;1
18,5843426;0;0;0;0;0;1
18,5863363;-0,6004253;1,605898;0,6121322;-0,9498075;-0,2291801;0,2129374
18,8509448;0;0;0;0;0;1
18,8509448;0;0;0;0;0;1
18,8539358;-0,592974;1,600242;0,6150887;-0,9204219;-0,2842314;0,2683956
19,1172535;0;0;0;0;0;1
19,1182498;0;0;0;0;0;1
19,1202435;-0,581044;1,564573;0,6352401;-0,748261;-0,5563359;0,3613805
19,3840825;0;0;0;0;0;1
19,3840825;0;0;0;0;0;1
19,3860762;-0,5746606;1,554963;0,6560346;-0,6629214;-0,6151116;0,4268173
19,6492678;0;0;0;0;0;1
19,6502684;0;0;0;0;0;1
19,6532594;-0,5574452;1,5813;0,6804339;-0,5987483;-0,4464022;0,6650004
19,9165202;0;0;0;0;0;1
19,9165202;0;0;0;0;0;1
19,9195101;-0,5361696;1,613154;0,682329;-0,5670545;-0,2027178;0,798345
20,1827335;0;0;0;0;0;1
20,1827335;0;0;0;0;0;1
20,1857236;-0,5258186;1,618053;0,6800324;-0,55641;-0,1536994;0,8165687
20,4494184;0;0;0;0;0;1
20,4504145;0;0;0;0;0;1
20,4524082;-0,4987486;1,624625;0,690589;-0,3127628;-0,09336985;0,9452309
20,7049942;0;0;0;0;0;1
20,7049942;0;0;0;0;0;1
20,7079807;-0,4087303;1,62228;0,6897421;0,3817625;-0,115498;0,9170156
20,9703885;0;0;0;0;0;1
20,9713847;0;0;0;0;0;1
20,9733784;-0,3109124;1,614202;0,6246613;0,8897758;-0,1590943;0,4277711
21,2419225;0;0;0;0;0;1
21,2419225;0;0;0;0;0;1
21,2449124;-0,274905;1,606903;0,5645033;0,9767421;-0,2097345;-0,04456957
21,4144423;0;0;0;0;0;1
21,4154387;0;0;0;0;0;1
21,4174324;-0,2926514;1,604494;0,5577464;0,9190845;-0,1923214;-0,3439423
21,6934694;0;0;0;0;0;1
21,6934694;0;0;0;0;0;1
21,6964557;-0,3628212;1,626163;0,5803164;0,6707653;0,01406173;-0,7415365
21,9598033;0;0;0;0;0;1
21,9598033;0;0;0;0;0;1
21,9627951;-0,4368508;1,620835;0,5689017;0,3603774;-0,07049788;-0,9301391
22,2042951;0;0;0;0;0;1
22,2042951;0;0;0;0;0;1
22,2072855;-0,5022892;1,617701;0,5412325;0,2195514;-0,1194512;-0,9682609
22,4484782;0;0;0;0;0;1
22,4484782;0;0;0;0;0;1
22,4504719;-0,5902405;1,636595;0,4970574;-0,1286847;0,02748631;-0,9913047
22,7148288;0;0;0;0;0;1
22,7148288;0;0;0;0;0;1
22,7178179;-0,6188921;1,644308;0,4763534;-0,2418467;0,1105498;-0,9639963
22,9809328;0;0;0;0;0;1
22,9819295;0;0;0;0;0;1
22,9839232;-0,6094372;1,645492;0,4772759;-0,2310459;0,09805872;-0,9679887
23,1922315;0;0;0;0;0;1
23,1922315;0;0;0;0;0;1
23,1952162;-0,5937672;1,63425;0,4840099;-0,1000962;-0,0147957;-0,994868
23,4699728;0;0;0;0;0;1
23,4699728;0;0;0;0;0;1
23,4729594;-0,5651922;1,622548;0,4975576;0,2235364;-0,1464459;-0,9636313
23,7367819;0;0;0;0;0;1
23,7377787;0;0;0;0;0;1
23,7397724;-0,530163;1,607816;0,5093455;0,5806907;-0,2769554;-0,765568
23,982092;0;0;0;0;0;1
23,982092;0;0;0;0;0;1
23,9840857;-0,4998303;1,601528;0,5280929;0,8162547;-0,315618;-0,4838527
24,2145214;0;0;0;0;0;1
24,2145214;0;0;0;0;0;1
24,2175154;-0,4923751;1,587711;0,5385329;0,8358189;-0,4238763;-0,3489068
24,4801726;0;0;0;0;0;1
24,4811738;0;0;0;0;0;1
24,4831675;-0,4993107;1,574706;0,5300944;0,7496217;-0,520137;-0,4092981
24,7479483;0;0;0;0;0;1
24,7479483;0;0;0;0;0;1
24,750942;-0,5060462;1,543501;0,5144269;0,5426031;-0,7136496;-0,4430421
24,9692416;0;0;0;0;0;1
24,9692416;0;0;0;0;0;1
24,9722333;-0,5081993;1,529867;0,5034376;0,4485366;-0,778373;-0,4392612
25,2353515;0;0;0;0;0;1
25,2363517;0;0;0;0;0;1
25,2383454;-0,5087634;1,525164;0,4939355;0,4107888;-0,7955469;-0,4453738
25,502526;0;0;0;0;0;1
25,502526;0;0;0;0;0;1
25,5055167;-0,511389;1,534512;0,4882041;0,431182;-0,7449921;-0,5089881
25,757418;0;0;0;0;0;1
25,757418;0;0;0;0;0;1
25,7604081;-0,5252592;1,592066;0,4783382;0,4896716;-0,3873584;-0,7811372
25,979809;0;0;0;0;0;1
25,9807689;0;0;0;0;0;1
25,9827626;-0,5481825;1,625954;0,4839646;0,4003743;-0,1036223;-0,9104742
26,2464985;0;0;0;0;0;1
26,2464985;0;0;0;0;0;1
26,2494923;-0,5719454;1,63264;0,4873076;0,2591893;-0,03402742;-0,9652269
26,5131672;0;0;0;0;0;1
26,5141677;0;0;0;0;0;1
26,5161614;-0,5928381;1,63355;0,4823839;0,07902174;-0,02388321;-0,9965869
26,7344385;0;0;0;0;0;1
26,7354357;0;0;0;0;0;1
26,7374294;-0,6173319;1,632661;0,4796458;-0,1768951;-0,02522177;-0,9839067
27,0017215;0;0;0;0;0;1
27,0017215;0;0;0;0;0;1
27,0047153;-0,670883;1,620973;0,4937878;-0,6380702;-0,09984844;-0,7634767
27,2685615;0;0;0;0;0;1
27,2685615;0;0;0;0;0;1
27,2715521;-0,6878067;1,612704;0,5085258;-0,7583476;-0,1638307;-0,6309268
27,5388863;0;0;0;0;0;1
27,5388863;0;0;0;0;0;1
27,541876;-0,6896585;1,625314;0,5217726;-0,8154727;-0,06906585;-0,5746604
27,6898028;0;0;0;0;0;1
27,6898028;0;0;0;0;0;1
27,6927998;-0,6848713;1,633098;0,528985;-0,8417509;-0,004915945;-0,5398438
27,968124;0;0;0;0;0;1
27,968124;0;0;0;0;0;1
27,971114;-0,6640926;1,641574;0,5227405;-0,7780151;0,06919519;-0,6244234
28,2369945;0;0;0;0;0;1
28,2369945;0;0;0;0;0;1
28,2399849;-0,6688468;1,635788;0,5167902;-0,7572907;0,01795811;-0,652831
28,482688;0;0;0;0;0;1
28,482688;0;0;0;0;0;1
28,485679;-0,6725653;1,632848;0,5095004;-0,7373303;-0,005209815;-0,6755124
28,6558713;0;0;0;0;0;1
28,6558713;0;0;0;0;0;1
28,6588617;-0,6707559;1,63226;0,5022088;-0,7009816;-0,01257189;-0,7130687
28,922811;0;0;0;0;0;1
28,922811;0;0;0;0;0;1
28,925802;-0,6660222;1,63254;0,4982388;-0,6402892;-0,01143524;-0,768049
29,1892361;0;0;0;0;0;1
29,1902325;0;0;0;0;0;1
29,1922262;-0,6279617;1,640693;0,4824296;-0,2523011;0,04244399;-0,9667176
29,4224559;0;0;0;0;0;1
29,4224559;0;0;0;0;0;1
29,4254463;-0,6003016;1,64172;0,4829219;-0,0004751437;0,04160328;-0,9991342
29,6671205;0;0;0;0;0;1
29,6671205;0;0;0;0;0;1
29,6701109;-0,576638;1,638643;0,4886845;0,223172;-0,001432839;-0,9747782
29,9331114;0;0;0;0;0;1
29,9341075;0;0;0;0;0;1
29,9361012;-0,5724636;1,639285;0,4925103;0,2834781;0,003560865;-0,9589722
30,1999187;0;0;0;0;0;1
30,2009159;0;0;0;0;0;1
30,2029096;-0,5711073;1,640033;0,4906591;0,292295;0,01205258;-0,9562523
30,4225342;0;0;0;0;0;1
30,4225342;0;0;0;0;0;1
30,4255245;-0,5682486;1,640923;0,4876862;0,3015812;0,0236521;-0,9531472
30,688943;0;0;0;0;0;1
30,688943;0;0;0;0;0;1
30,6914813;-0,5655449;1,639899;0,4810753;0,3088099;0,01723078;-0,9509677
30,9561234;0;0;0;0;0;1
30,9561234;0;0;0;0;0;1
30,9581171;-0,5650814;1,638479;0,4745211;0,3194316;0,01024326;-0,9475541
31,1999668;0;0;0;0;0;1
31,1999668;0;0;0;0;0;1
31,202957;-0,5640579;1,637676;0,4703025;0,3262556;0,004213307;-0,9452725
31,4327462;0;0;0;0;0;1
31,433743;0;0;0;0;0;1
31,4357367;-0,5638584;1,636756;0,4672742;0,3271771;-0,003048002;-0,9449582
31,6988661;0;0;0;0;0;1
31,6998627;0;0;0;0;0;1
31,7018564;-0,5599552;1,637271;0,4675471;0,331199;-0,0008928138;-0,9435606
31,9662815;0;0;0;0;0;1
31,9672835;0;0;0;0;0;1
31,9692772;-0,555687;1,637821;0,4713006;0,3422215;0,002830693;-0,9396151
32,176856;0;0;0;0;0;1
32,1778565;0;0;0;0;0;1
32,1798502;-0,5549596;1,637204;0,4731142;0,3462946;-0,002327079;-0,9381231
32,4431586;0;0;0;0;0;1
