DateTime; total_time; fps
05.05.2023 17:54:43;1,0447651;4
05.05.2023 17:54:43;1,0487469;4
05.05.2023 17:54:44;1,8552326;3
05.05.2023 17:54:44;1,8869794;4
05.05.2023 17:54:44;1,892942;4
05.05.2023 17:54:44;1,9002352;4
05.05.2023 17:54:44;1,9108442;5
05.05.2023 17:54:44;1,921808;5
05.05.2023 17:54:44;1,9514433;6
05.05.2023 17:54:44;1,9663935;6
05.05.2023 17:54:44;2,1115429;6
05.05.2023 17:54:44;2,1175228;7
05.05.2023 17:54:44;2,1394496;8
05.05.2023 17:54:44;2,1434364;9
05.05.2023 17:54:44;2,155396;10
05.05.2023 17:54:44;2,1663594;10
05.05.2023 17:54:44;2,1773316;11
05.05.2023 17:54:44;2,1892932;13
05.05.2023 17:54:44;2,1992589;14
05.05.2023 17:54:44;2,2102219;15
05.05.2023 17:54:44;2,2221819;16
05.05.2023 17:54:44;2,233145;18
05.05.2023 17:54:44;2,2441086;19
05.05.2023 17:54:44;2,256069;21
05.05.2023 17:54:44;2,2660353;23
05.05.2023 17:54:44;2,276999;25
05.05.2023 17:54:44;2,2989254;26
05.05.2023 17:54:44;2,3019152;28
05.05.2023 17:54:44;2,3121345;31
05.05.2023 17:54:44;2,3240943;33
05.05.2023 17:54:44;2,3340611;35
05.05.2023 17:54:44;2,3460226;37
05.05.2023 17:54:44;2,3619677;39
05.05.2023 17:54:44;2,3719346;41
05.05.2023 17:54:44;2,3845986;43
05.05.2023 17:54:44;2,3935685;46
05.05.2023 17:54:44;2,4105122;47
05.05.2023 17:54:44;2,4204787;50
05.05.2023 17:54:44;2,432439;52
05.05.2023 17:54:44;2,4434021;54
05.05.2023 17:54:44;2,4543654;57
05.05.2023 17:54:44;2,4663258;59
05.05.2023 17:54:44;2,4762923;61
05.05.2023 17:54:44;2,4872595;63
05.05.2023 17:54:44;2,4992154;65
05.05.2023 17:54:44;2,5101789;67
05.05.2023 17:54:44;2,520146;69
05.05.2023 17:54:44;2,5331021;70
05.05.2023 17:54:44;2,5430689;72
05.05.2023 17:54:44;2,5540339;73
05.05.2023 17:54:44;2,5659921;75
05.05.2023 17:54:44;2,5759587;76
05.05.2023 17:54:44;2,5869221;77
05.05.2023 17:54:44;2,6108425;72
05.05.2023 17:54:44;2,6208082;74
05.05.2023 17:54:44;2,6317721;75
05.05.2023 17:54:44;2,6437319;76
05.05.2023 17:54:44;2,6536988;77
05.05.2023 17:54:44;2,664662;78
05.05.2023 17:54:45;2,6776183;79
05.05.2023 17:54:45;2,6875854;80
05.05.2023 17:54:45;2,6985486;81
05.05.2023 17:54:45;2,7105091;82
05.05.2023 17:54:45;2,7204756;83
05.05.2023 17:54:45;2,7314388;84
05.05.2023 17:54:45;2,7433985;84
05.05.2023 17:54:45;2,754362;85
05.05.2023 17:54:45;2,7653255;85
05.05.2023 17:54:45;2,7772853;86
05.05.2023 17:54:45;2,7882487;86
05.05.2023 17:54:45;2,7982159;86
05.05.2023 17:54:45;2,8111719;87
05.05.2023 17:54:45;2,8211386;87
05.05.2023 17:54:45;2,8321019;87
05.05.2023 17:54:45;2,8440617;87
05.05.2023 17:54:45;2,8540286;88
05.05.2023 17:54:45;2,8649956;88
05.05.2023 17:54:45;2,8769518;88
05.05.2023 17:54:45;2,8869186;89
05.05.2023 17:54:45;2,8988784;89
05.05.2023 17:54:45;2,9108386;89
05.05.2023 17:54:45;2,920805;89
05.05.2023 17:54:45;2,9317684;89
05.05.2023 17:54:45;2,9437284;89
05.05.2023 17:54:45;2,953695;89
05.05.2023 17:54:45;2,9646585;89
05.05.2023 17:54:45;2,9766183;89
05.05.2023 17:54:45;2,9875821;89
05.05.2023 17:54:45;2,9985452;89
05.05.2023 17:54:45;3,0095083;90
05.05.2023 17:54:45;3,0204719;90
05.05.2023 17:54:45;3,0324316;89
05.05.2023 17:54:45;3,0433953;90
05.05.2023 17:54:45;3,0543583;90
05.05.2023 17:54:45;3,0653215;90
05.05.2023 17:54:45;3,0772819;90
05.05.2023 17:54:45;3,0872481;90
05.05.2023 17:54:45;3,0992082;89
05.05.2023 17:54:45;3,1111685;89
05.05.2023 17:54:45;3,1211351;89
05.05.2023 17:54:45;3,1330949;89
05.05.2023 17:54:45;3,1450549;89
05.05.2023 17:54:45;3,1560238;88
05.05.2023 17:54:45;3,1679783;88
05.05.2023 17:54:45;3,1799389;88
05.05.2023 17:54:45;3,1909012;88
05.05.2023 17:54:45;3,2018647;88
05.05.2023 17:54:45;3,2148214;88
05.05.2023 17:54:45;3,2247881;88
05.05.2023 17:54:45;3,2367481;88
05.05.2023 17:54:45;3,2477116;88
