timediff; x; y; z; forward_x; forward_y; forward_z
1,2373033;0;0;0;0;0;1
1,4388499;0;0;0;0;0;1
1,6691153;0;0;0;0;0;1
1,9367592;0;0;0;0;0;1
2,2020583;0;0;0;0;0;1
2,425315;0;0;0;0;0;1
2,6802237;0;0;0;0;0;1
2,9465363;0;0;0;0;0;1
3,2134551;0;0;0;0;0;1
3,4236118;0;0;0;0;0;1
3,6907322;0;0;0;0;0;1
3,9578462;0;0;0;0;0;1
4,1900653;0;0;0;0;0;1
4,4347538;0;0;0;0;0;1
4,700389;0;0;0;0;0;1
4,9670541;0;0;0;0;0;1
5,2337521;0;0;0;0;0;1
5,5000717;0;0;0;0;0;1
5,7667309;0;0;0;0;0;1
6,0329824;0;0;0;0;0;1
6,3001267;0;0;0;0;0;1
6,5668413;0;0;0;0;0;1
6,833251;0;0;0;0;0;1
7,10048;0;0;0;0;0;1
7,3671709;0;0;0;0;0;1
7,6332629;0;0;0;0;0;1
7,8992487;0;0;0;0;0;1
8,1659313;0;0;0;0;0;1
8,4323143;0;0;0;0;0;1
8,6994205;0;0;0;0;0;1
8,9657339;0;0;0;0;0;1
9,2322793;0;0;0;0;0;1
9,4989405;0;0;0;0;0;1
9,7652081;0;0;0;0;0;1
10,0313433;0;0;0;0;0;1
10,2979972;0;0;0;0;0;1
10,5646333;0;0;0;0;0;1
10,8317495;0;0;0;0;0;1
11,0984289;0;0;0;0;0;1
11,3647205;0;0;0;0;0;1
11,6311122;0;0;0;0;0;1
11,8981428;0;0;0;0;0;1
12,1640312;0;0;0;0;0;1
12,4309114;0;0;0;0;0;1
12,6970778;0;0;0;0;0;1
13,0201505;0;0;0;0;0;1
13,420549;0;0;0;0;0;1
13,7532382;0;0;0;0;0;1
14,0195547;0;0;0;0;0;1
14,2858065;0;0;0;0;0;1
14,5529128;0;0;0;0;0;1
14,8190411;0;0;0;0;0;1
15,0640215;0;0;0;0;0;1
15,3075476;0;0;0;0;0;1
15,5737056;0;0;0;0;0;1
15,8414114;0;0;0;0;0;1
16,0291166;0;0;0;0;0;1
16,2404099;0;0;0;0;0;1
16,5065114;0;0;0;0;0;1
16,7742569;0;0;0;0;0;1
16,9845722;0;0;0;0;0;1
17,2514285;0;0;0;0;0;1
17,5180106;0;0;0;0;0;1
17,7843831;0;0;0;0;0;1
18,0510764;0;0;0;0;0;1
18,3175313;0;0;0;0;0;1
18,5843424;0;0;0;0;0;1
18,850945;0;0;0;0;0;1
19,1182501;0;0;0;0;0;1
19,3840784;0;0;0;0;0;1
19,6502644;0;0;0;0;0;1
19,9165202;0;0;0;0;0;1
20,1837301;0;0;0;0;0;1
20,450415;0;0;0;0;0;1
20,7049908;0;0;0;0;0;1
20,9713851;0;0;0;0;0;1
21,2419267;0;0;0;0;0;1
21,4154389;0;0;0;0;0;1
21,6934656;0;0;0;0;0;1
21,9607999;0;0;0;0;0;1
22,2042965;0;0;0;0;0;1
22,4484773;0;0;0;0;0;1
22,7148227;0;0;0;0;0;1
22,9819294;0;0;0;0;0;1
23,1922255;0;0;0;0;0;1
23,4699728;0;0;0;0;0;1
23,7377785;0;0;0;0;0;1
23,9820911;0;0;0;0;0;1
24,2145207;0;0;0;0;0;1
24,4811692;0;0;0;0;0;1
24,7479519;0;0;0;0;0;1
24,969241;0;0;0;0;0;1
25,2363481;0;0;0;0;0;1
25,5025258;0;0;0;0;0;1
