timediff; x; y; z; forward_x; forward_y; forward_zM; collision
1,0797361;0;0;0;0;0;1;0
1,1411057;0;0;0;0;0;1;0
1,1804933;0;0;0;0;0;1;0
1,2383007;0;0;0;0;0;1;0
1,2803199;0;0;0;0;0;1;0
1,3371812;0;0;0;0;0;1;0
1,3910056;0;0;0;0;0;1;0
1,4388498;0;0;0;0;0;1;0
1,4916773;0;0;0;0;0;1;0
1,5355361;0;0;0;0;0;1;0
1,6023341;0;0;0;0;0;1;0
1,6701107;0;0;0;0;0;1;0
1,7359025;0;0;0;0;0;1;0
1,8021956;0;0;0;0;0;1;0
1,8689761;0;0;0;0;0;1;0
1,9367589;0;0;0;0;0;1;0
2,0017174;0;0;0;0;0;1;0
2,0694905;0;0;0;0;0;1;0
2,1352811;0;0;0;0;0;1;0
2,2030565;0;0;0;0;0;1;0
2,2678384;0;0;0;0;0;1;0
2,3346228;0;0;0;0;0;1;0
2,3794683;0;0;0;0;0;1;0
2,4253152;0;0;0;0;0;1;0
2,4681717;0;0;0;0;0;1;0
2,5460698;0;0;0;0;0;1;0
2,6123541;0;0;0;0;0;1;0
2,6802156;0;0;0;0;0;1;0
2,745995;0;0;0;0;0;1;0
2,8117819;0;0;0;0;0;1;0
2,8791766;0;0;0;0;0;1;0
2,9465366;0;0;0;0;0;1;0
3,0123195;0;0;0;0;0;1;0
3,0804025;0;0;0;0;0;1;0
3,1461692;0;0;0;0;0;1;0
3,2144485;0;0;0;0;0;1;0
3,2573043;0;0;0;0;0;1;0
3,3006667;0;0;0;0;0;1;0
3,3564794;0;0;0;0;0;1;0
3,4246093;0;0;0;0;0;1;0
3,4894068;0;0;0;0;0;1;0
3,5561795;0;0;0;0;0;1;0
3,6229598;0;0;0;0;0;1;0
3,6907331;0;0;0;0;0;1;0
3,7565121;0;0;0;0;0;1;0
3,8232888;0;0;0;0;0;1;0
3,8890762;0;0;0;0;0;1;0
3,9578425;0;0;0;0;0;1;0
4,0236229;0;0;0;0;0;1;0
4,0903992;0;0;0;0;0;1;0
4,1452155;0;0;0;0;0;1;0
4,1900657;0;0;0;0;0;1;0
4,244882;0;0;0;0;0;1;0
4,300204;0;0;0;0;0;1;0
4,3779441;0;0;0;0;0;1;0
4,4347539;0;0;0;0;0;1;0
4,5120023;0;0;0;0;0;1;0
4,5668189;0;0;0;0;0;1;0
4,6450636;0;0;0;0;0;1;0
4,7013826;0;0;0;0;0;1;0
4,778125;0;0;0;0;0;1;0
4,8329823;0;0;0;0;0;1;0
4,9112408;0;0;0;0;0;1;0
4,9680502;0;0;0;0;0;1;0
5,045372;0;0;0;0;0;1;0
5,1001885;0;0;0;0;0;1;0
5,1779361;0;0;0;0;0;1;0
5,2337515;0;0;0;0;0;1;0
5,3116909;0;0;0;0;0;1;0
5,3665082;0;0;0;0;0;1;0
5,445255;0;0;0;0;0;1;0
5,5010684;0;0;0;0;0;1;0
5,5778118;0;0;0;0;0;1;0
5,6331334;0;0;0;0;0;1;0
5,7109135;0;0;0;0;0;1;0
5,7667303;0;0;0;0;0;1;0
5,8449833;0;0;0;0;0;1;0
5,8998004;0;0;0;0;0;1;0
5,9775402;0;0;0;0;0;1;0
6,0339789;0;0;0;0;0;1;0
6,1112418;0;0;0;0;0;1;0
6,1660584;0;0;0;0;0;1;0
6,2443093;0;0;0;0;0;1;0
6,3001221;0;0;0;0;0;1;0
6,3778626;0;0;0;0;0;1;0
6,4322954;0;0;0;0;0;1;0
6,5110281;0;0;0;0;0;1;0
6,566841;0;0;0;0;0;1;0
6,6442481;0;0;0;0;0;1;0
6,6990644;0;0;0;0;0;1;0
6,7778011;0;0;0;0;0;1;0
6,8332513;0;0;0;0;0;1;0
6,9109907;0;0;0;0;0;1;0
6,9658076;0;0;0;0;0;1;0
7,044122;0;0;0;0;0;1;0
7,1004788;0;0;0;0;0;1;0
7,1782143;0;0;0;0;0;1;0
7,2320343;0;0;0;0;0;1;0
7,3113509;0;0;0;0;0;1;0
7,3671716;0;0;0;0;0;1;0
7,4444766;0;0;0;0;0;1;0
7,4992928;0;0;0;0;0;1;0
7,5774497;0;0;0;0;0;1;0
7,6332636;0;0;0;0;0;1;0
7,7100105;0;0;0;0;0;1;0
7,7648264;0;0;0;0;0;1;0
7,8435631;0;0;0;0;0;1;0
7,8992485;0;0;0;0;0;1;0
7,9775008;0;0;0;0;0;1;0
8,0313338;0;0;0;0;0;1;0
8,1100818;0;0;0;0;0;1;0
8,1659315;0;0;0;0;0;1;0
8,2436913;0;0;0;0;0;1;0
8,2985081;0;0;0;0;0;1;0
8,3772474;0;0;0;0;0;1;0
8,4333106;0;0;0;0;0;1;0
8,5100542;0;0;0;0;0;1;0
8,5648746;0;0;0;0;0;1;0
8,643607;0;0;0;0;0;1;0
8,6994212;0;0;0;0;0;1;0
8,7761769;0;0;0;0;0;1;0
8,8317538;0;0;0;0;0;1;0
8,9099963;0;0;0;0;0;1;0
8,9657341;0;0;0;0;0;1;0
9,0429942;0;0;0;0;0;1;0
9,0978514;0;0;0;0;0;1;0
9,1761084;0;0;0;0;0;1;0
9,2322798;0;0;0;0;0;1;0
9,3095917;0;0;0;0;0;1;0
9,364401;0;0;0;0;0;1;0
9,4431278;0;0;0;0;0;1;0
9,4989403;0;0;0;0;0;1;0
9,576249;0;0;0;0;0;1;0
9,6310656;0;0;0;0;0;1;0
