Participant;hit;position;series;hammer;left/righthanded; x [mm];y [mm];distance [mm];timecode
;;;;;;;;;
13;1;5;1;mittel;right;14,42968;-23,34349;27,44329;20.10.2023 17:14:09
13;2;5;1;mittel;right;1,372602;-25,13209;25,16954;20.10.2023 17:14:10
13;3;5;1;mittel;right;-1,88964;-14,55092;14,67311;20.10.2023 17:14:11
13;4;5;1;mittel;right;51,86351;-20,36612;55,71896;20.10.2023 17:14:12
13;5;5;1;mittel;right;-86,79485;-24,44361;90,17115;20.10.2023 17:14:13
13;6;1;1;mittel;right;2,473483;-11,3756;11,64141;20.10.2023 17:14:23
13;7;1;1;mittel;right;20,48422;-27,58918;34,36227;20.10.2023 17:14:25
13;8;1;1;mittel;right;17,20916;-34,00583;38,11236;20.10.2023 17:14:27
13;9;1;1;mittel;right;5,516379;-3,482758;6,523805;20.10.2023 17:14:28
13;10;1;1;mittel;right;13,24486;-4,913547;14,1269;20.10.2023 17:14:29
13;11;2;1;mittel;right;-12,83499;-18,8374;22,7944;20.10.2023 17:14:35
13;12;2;1;mittel;right;-5,81887;-28,04042;28,63782;20.10.2023 17:14:36
13;13;2;1;mittel;right;-10,97945;-20,92486;23,63045;20.10.2023 17:14:38
13;14;2;1;mittel;right;-0,01199008;-17,16549;17,1655;20.10.2023 17:14:42
13;15;2;1;mittel;right;-8,262797;-20,08128;21,71478;20.10.2023 17:14:43
13;16;3;1;mittel;right;-1,998113;-18,54645;18,65377;20.10.2023 17:15:07
13;17;3;1;mittel;right;1,132413;-13,87702;13,92315;20.10.2023 17:15:08
13;18;3;1;mittel;right;-4,681758;-27,15973;27,5603;20.10.2023 17:15:09
13;19;3;1;mittel;right;-1,403502;-8,802657;8,913842;20.10.2023 17:15:10
13;20;3;1;mittel;right;-26,61984;-22,06101;34,57317;20.10.2023 17:15:11
13;21;6;1;mittel;right;9,529732;-17,74876;20,14533;20.10.2023 17:15:17
13;22;6;1;mittel;right;4,28777;-12,74059;13,44275;20.10.2023 17:15:18
13;23;6;1;mittel;right;-5,81495;-23,09732;23,81806;20.10.2023 17:15:19
13;24;6;1;mittel;right;-11,8505;-19,36337;22,70186;20.10.2023 17:15:20
13;25;6;1;mittel;right;2,85127;-20,78394;20,9786;20.10.2023 17:15:21
13;26;4;1;mittel;right;-7,131049;-20,14149;21,3666;20.10.2023 17:15:26
13;27;4;1;mittel;right;-20,22541;20,42517;28,74465;20.10.2023 17:15:27
13;28;4;1;mittel;right;3,073744;-25,02749;25,21554;20.10.2023 17:15:30
13;29;4;1;mittel;right;0,6034481;-8,725483;8,746325;20.10.2023 17:15:31
13;30;4;1;mittel;right;17,15461;-23,1943;28,84885;20.10.2023 17:15:32
13;31;4;1;mittel;right;10,7989;-22,00924;24,51577;20.10.2023 17:15:33
13;32;1;2;mittel;right;7,206507;-40,67574;41,30919;20.10.2023 17:17:53
13;33;1;2;mittel;right;7,938201;-18,62194;20,24331;20.10.2023 17:17:53
13;34;1;2;mittel;right;5,435557;-22,38366;23,03418;20.10.2023 17:17:54
13;35;1;2;mittel;right;1,633973;-25,31778;25,37045;20.10.2023 17:17:55
13;36;1;2;mittel;right;7,604073;-21,52022;22,82415;20.10.2023 17:17:56
13;37;4;2;mittel;right;19,36748;-14,20569;24,01876;20.10.2023 17:18:01
13;38;4;2;mittel;right;15,0361;-6,147315;16,2442;20.10.2023 17:18:02
13;39;4;2;mittel;right;1,852087;-13,15791;13,28762;20.10.2023 17:18:03
13;40;4;2;mittel;right;10,06207;-9,328842;13,72124;20.10.2023 17:18:04
13;41;4;2;mittel;right;10,24666;-17,3558;20,15485;20.10.2023 17:18:05
13;42;3;2;mittel;right;-5,696032;-24,76199;25,40868;20.10.2023 17:18:10
13;43;3;2;mittel;right;-15,49741;-29,47758;33,30311;20.10.2023 17:18:11
13;44;3;2;mittel;right;-5,275273;-10,39028;11,65274;20.10.2023 17:18:12
13;45;3;2;mittel;right;-5,302291;-19,45447;20,16409;20.10.2023 17:18:13
13;46;3;2;mittel;right;-3,343904;-22,10534;22,35682;20.10.2023 17:18:14
13;47;5;2;mittel;right;10,30682;-16,1662;19,17229;20.10.2023 17:18:18
13;48;5;2;mittel;right;2,77176;-18,52757;18,73376;20.10.2023 17:18:19
13;49;5;2;mittel;right;-3,329357;-25,07294;25,29302;20.10.2023 17:18:20
13;50;5;2;mittel;right;2,074415;-21,71074;21,80962;20.10.2023 17:18:21
13;51;5;2;mittel;right;-0,4063434;-25,0535;25,05679;20.10.2023 17:18:22
13;52;6;2;mittel;right;1,763962;-20,60459;20,67996;20.10.2023 17:18:26
13;53;6;2;mittel;right;3,008784;-18,01653;18,26604;20.10.2023 17:18:27
13;54;6;2;mittel;right;7,577523;-7,640163;10,76062;20.10.2023 17:18:28
13;55;6;2;mittel;right;8,365783;-9,146821;12,39559;20.10.2023 17:18:29
13;56;6;2;mittel;right;6,030586;-11,53076;13,01255;20.10.2023 17:18:30
13;57;2;2;mittel;right;-4,204195;-22,46676;22,85674;20.10.2023 17:18:34
13;58;2;2;mittel;right;-6,163231;-25,4084;26,14522;20.10.2023 17:18:35
13;59;2;2;mittel;right;-0,930485;-24,93891;24,95626;20.10.2023 17:18:36
13;60;2;2;mittel;right;6,157662;-7,529465;9,726748;20.10.2023 17:18:37
13;61;2;2;mittel;right;7,036534;-10,3912;12,5495;20.10.2023 17:18:38
