Participant;hit;position;series;hammer;left/righthanded; x [mm];y [mm];distance [mm];timecode
;;;;;;;;;
28;1;6;1;mittel;right;6,883408;-1,487228;7,04224;06.11.2023 11:05
28;2;6;1;mittel;right;4,424466;1,217753;4,58899;06.11.2023 11:05
28;3;6;1;mittel;right;1,247963;-6,052682;6,179997;06.11.2023 11:05
28;4;6;1;mittel;right;0,4756119;-7,940023;7,954255;06.11.2023 11:05
28;5;6;1;mittel;right;2,326293;-6,734906;7,125349;06.11.2023 11:05
28;6;2;1;mittel;right;5,927769;8,469729;10,33803;06.11.2023 11:05
28;7;2;1;mittel;right;4,613802;-17,37363;17,97583;06.11.2023 11:05
28;8;2;1;mittel;right;6,010924;-11,74582;13,19452;06.11.2023 11:05
28;9;2;1;mittel;right;6,946472;-2,589753;7,413521;06.11.2023 11:05
28;10;2;1;mittel;right;8,268823;-14,06534;16,31586;06.11.2023 11:05
28;11;4;1;mittel;right;1,382491;9,803812;9,900808;06.11.2023 11:05
28;12;4;1;mittel;right;9,824855;-1,791336;9,986824;06.11.2023 11:05
28;13;4;1;mittel;right;14,20231;-13,77549;19,7856;06.11.2023 11:05
28;14;4;1;mittel;right;22,31262;-4,816848;22,82663;06.11.2023 11:05
28;15;4;1;mittel;right;21,61695;-9,109308;23,45788;06.11.2023 11:05
28;16;5;1;mittel;right;-1,611778;-16,21769;16,29759;06.11.2023 11:05
28;17;5;1;mittel;right;13,25808;-21,99175;25,67905;06.11.2023 11:05
28;18;5;1;mittel;right;8,456397;-24,96972;26,36281;06.11.2023 11:05
28;19;5;1;mittel;right;20,93401;-31,30298;37,65779;06.11.2023 11:05
28;20;5;1;mittel;right;23,48887;-36,48298;43,39049;06.11.2023 11:05
28;21;3;1;mittel;right;4,075709;-8,442237;9,374581;06.11.2023 11:05
28;22;3;1;mittel;right;4,360686;-10,0221;10,92969;06.11.2023 11:05
28;23;3;1;mittel;right;7,403727;-9,547812;12,08205;06.11.2023 11:05
28;24;3;1;mittel;right;7,50752;-1,623414;7,681037;06.11.2023 11:05
28;25;3;1;mittel;right;3,741714;-18,72865;19,09876;06.11.2023 11:06
28;26;1;1;mittel;right;8,656403;-7,068986;11,17604;06.11.2023 11:06
28;27;1;1;mittel;right;6,476035;-17,23117;18,40794;06.11.2023 11:06
28;28;1;1;mittel;right;12,16924;-15,7667;19,91681;06.11.2023 11:06
28;29;1;1;mittel;right;5,204801;-16,17302;16,98989;06.11.2023 11:06
28;30;1;1;mittel;right;11,86645;-14,21853;18,5197;06.11.2023 11:06
28;31;4;2;mittel;right;9,700565;-6,290452;11,56161;06.11.2023 11:09
28;32;4;2;mittel;right;5,671142;-1,577084;5,886344;06.11.2023 11:09
28;33;4;2;mittel;right;1,525655;-3,659785;3,965053;06.11.2023 11:09
28;34;4;2;mittel;right;0,8788784;-3,247694;3,364512;06.11.2023 11:09
28;35;4;2;mittel;right;6,64712;-3,651293;7,583941;06.11.2023 11:09
28;36;4;2;mittel;right;18,27657;-16,66485;24,73358;06.11.2023 11:09
28;37;4;2;mittel;right;26,63987;-19,21883;32,84883;06.11.2023 11:09
28;38;4;2;mittel;right;13,30968;-16,92891;21,53452;06.11.2023 11:09
28;39;4;2;mittel;right;23,17775;-11,10599;25,70119;06.11.2023 11:09
28;40;1;2;mittel;right;16,63991;5,291646;17,46105;06.11.2023 11:09
28;41;1;2;mittel;right;69,46046;-27,51746;74,71255;06.11.2023 11:09
28;42;1;2;mittel;right;7,481849;7,605245;10,66854;06.11.2023 11:09
28;43;1;2;mittel;right;4,564101;1,996977;4,981861;06.11.2023 11:09
28;44;1;2;mittel;right;6,311134;-4,600514;7,809939;06.11.2023 11:10
28;45;6;2;mittel;right;-0,137782;-8,524528;8,525641;06.11.2023 11:10
28;46;6;2;mittel;right;2,228012;-17,08456;17,22923;06.11.2023 11:10
28;47;6;2;mittel;right;-9,552392;-27,9073;29,49687;06.11.2023 11:10
28;48;6;2;mittel;right;-5,653911;-17,67053;18,55302;06.11.2023 11:10
28;49;6;2;mittel;right;-6,900901;-19,42359;20,61306;06.11.2023 11:10
28;50;6;2;mittel;right;-16,34693;-26,05212;30,75605;06.11.2023 11:10
28;51;5;2;mittel;right;5,146393;-4,306548;6,710568;06.11.2023 11:10
28;52;5;2;mittel;right;2,25977;0,7487929;2,380599;06.11.2023 11:10
28;53;5;2;mittel;right;1,103732;0,7561018;1,337877;06.11.2023 11:10
28;54;5;2;mittel;right;8,309216;-20,37405;22,00329;06.11.2023 11:10
28;55;5;2;mittel;right;5,958884;-22,53718;23,31164;06.11.2023 11:10
28;56;5;2;mittel;right;-1,121745;-14,34221;14,386;06.11.2023 11:10
28;57;5;2;mittel;right;6,942025;-12,83349;14,59075;06.11.2023 11:10
28;58;5;2;mittel;right;3,487959;-31,68892;31,8803;06.11.2023 11:10
28;59;2;2;mittel;right;2,516368;-12,02267;12,28319;06.11.2023 11:10
28;60;2;2;mittel;right;1,286036;-5,257576;5,412578;06.11.2023 11:10
28;61;2;2;mittel;right;-1,023603;-2,263865;2,484522;06.11.2023 11:10
28;62;2;2;mittel;right;15,63777;-27,96969;32,04439;06.11.2023 11:10
28;63;2;2;mittel;right;14,20848;-12,23722;18,75181;06.11.2023 11:10
28;64;2;2;mittel;right;49,08574;-8,174876;49,76182;06.11.2023 11:10
28;65;2;2;mittel;right;11,76829;-3,674122;12,3285;06.11.2023 11:10
28;66;2;2;mittel;right;10,31033;0,8154224;10,34252;06.11.2023 11:10
28;67;3;2;mittel;right;-9,942637;-7,565702;12,49383;06.11.2023 11:10
28;68;3;2;mittel;right;-1,188355;2,585326;2,845364;06.11.2023 11:10
28;69;3;2;mittel;right;-9,462119;-10,47418;14,11525;06.11.2023 11:10
28;70;3;2;mittel;right;-10,75723;-15,43826;18,81643;06.11.2023 11:10
28;71;3;2;mittel;right;-20,18901;-10,91816;22,95218;06.11.2023 11:10
