Participant;hit;position;series;hammer;left/righthanded; x [mm];y [mm];distance [mm];timecode
;;;;;;;;;
26;1;4;1;mittel;right;8,746619;3,501597;9,421493;01.11.2023 17:01:03
26;2;4;1;mittel;right;-5,699953;-6,16487;8,396135;01.11.2023 17:01:04
26;3;4;1;mittel;right;-0,4995918;11,49739;11,50824;01.11.2023 17:01:05
26;4;4;1;mittel;right;-2,715034;12,57757;12,86728;01.11.2023 17:01:06
26;5;4;1;mittel;right;-5,512854;5,992898;8,142873;01.11.2023 17:01:08
26;6;5;1;mittel;right;19,27331;3,386387;19,56855;01.11.2023 17:01:13
26;7;5;1;mittel;right;4,007195;18,54392;18,97195;01.11.2023 17:01:14
26;8;5;1;mittel;right;5,250737;-1,209212;5,388175;01.11.2023 17:01:15
26;9;5;1;mittel;right;-0,2568255;-1,570973;1,591828;01.11.2023 17:01:16
26;10;5;1;mittel;right;1,349436;1,010819;1,68604;01.11.2023 17:01:18
26;11;3;1;mittel;right;11,87268;-2,600142;12,15407;01.11.2023 17:01:22
26;12;3;1;mittel;right;2,334022;0,3890811;2,36623;01.11.2023 17:01:24
26;13;3;1;mittel;right;-2,650465;-7,175657;7,649511;01.11.2023 17:01:25
26;14;3;1;mittel;right;7,176847;-3,258332;7,88187;01.11.2023 17:01:26
26;15;3;1;mittel;right;2,099627;8,565117;8,81871;01.11.2023 17:01:28
26;16;6;1;mittel;right;16,95725;2,35698;17,12027;01.11.2023 17:01:33
26;17;6;1;mittel;right;-3,014504;3,345748;4,503472;01.11.2023 17:01:34
26;18;6;1;mittel;right;0,9462717;1,545604;1,812269;01.11.2023 17:01:35
26;19;6;1;mittel;right;-0,2634313;2,587624;2,600999;01.11.2023 17:01:36
26;20;6;1;mittel;right;2,250314;-8,751152;9,035849;01.11.2023 17:01:37
26;21;1;1;mittel;right;-3,169293;-7,554684;8,192537;01.11.2023 17:01:47
26;22;1;1;mittel;right;6,102178;6,859492;9,180916;01.11.2023 17:01:48
26;23;1;1;mittel;right;-12,78524;6,141361;14,18374;01.11.2023 17:01:49
26;24;1;1;mittel;right;0,4230707;-1,161973;1,236597;01.11.2023 17:01:51
26;25;1;1;mittel;right;-0,8162619;0,6952225;1,072202;01.11.2023 17:01:52
26;26;2;1;mittel;right;8,621581;-0,1098256;8,62228;01.11.2023 17:01:56
26;27;2;1;mittel;right;-3,635664;3,721554;5,202694;01.11.2023 17:01:58
26;28;2;1;mittel;right;0,7433515;-1,305775;1,502538;01.11.2023 17:01:59
26;29;2;1;mittel;right;0,9041554;2,913831;3,050887;01.11.2023 17:02:00
26;30;2;1;mittel;right;1,312997;3,197592;3,456669;01.11.2023 17:02:02
26;31;2;2;mittel;right;-6,830729;-18,74644;19,95214;01.11.2023 17:04:26
26;32;2;2;mittel;right;3,299259;1,856463;3,785706;01.11.2023 17:04:27
26;33;2;2;mittel;right;-8,503059;6,275309;10,56795;01.11.2023 17:04:28
26;34;2;2;mittel;right;6,921379;-6,172209;9,273708;01.11.2023 17:04:29
26;35;2;2;mittel;right;-4,574852;1,335223;4,76572;01.11.2023 17:04:30
26;36;5;2;mittel;right;-4,980381;3,01535;5,822073;01.11.2023 17:04:35
26;37;5;2;mittel;right;4,426668;-0,8558008;4,508635;01.11.2023 17:04:36
26;38;5;2;mittel;right;-7,252879;-3,626478;8,108983;01.11.2023 17:04:38
26;39;5;2;mittel;right;9,990188;-1,112183;10,05191;01.11.2023 17:04:39
26;40;5;2;mittel;right;1,548485;-1,808125;2,380572;01.11.2023 17:04:40
26;41;6;2;mittel;right;-5,378292;-4,866169;7,252974;01.11.2023 17:04:44
26;42;6;2;mittel;right;6,241579;-7,285146;9,593262;01.11.2023 17:04:46
26;43;6;2;mittel;right;-11,77871;-10,06616;15,49405;01.11.2023 17:04:47
26;44;6;2;mittel;right;2,319877;-8,618848;8,925602;01.11.2023 17:04:48
26;45;6;2;mittel;right;-4,725278;-3,714443;6,010436;01.11.2023 17:04:49
26;46;1;2;mittel;right;1,285948;7,410203;7,520956;01.11.2023 17:04:54
26;47;1;2;mittel;right;-4,862648;-3,069426;5,750367;01.11.2023 17:04:55
26;48;1;2;mittel;right;-3,242995;-10,63375;11,11726;01.11.2023 17:04:56
26;49;1;2;mittel;right;-1,657305;-6,883748;7,080441;01.11.2023 17:04:57
26;50;1;2;mittel;right;-0,8328818;1,608959;1,81175;01.11.2023 17:04:58
26;51;3;2;mittel;right;6,149948;-4,507603;7,624981;01.11.2023 17:05:03
26;52;3;2;mittel;right;-2,575884;12,38151;12,64662;01.11.2023 17:05:05
26;53;3;2;mittel;right;2,710557;6,127971;6,700683;01.11.2023 17:05:06
26;54;3;2;mittel;right;-0,3075397;2,606998;2,625075;01.11.2023 17:05:07
26;55;3;2;mittel;right;1,914203;0,7385091;2,051723;01.11.2023 17:05:09
26;56;4;2;mittel;right;-0,07203738;18,93067;18,93081;01.11.2023 17:05:14
26;57;4;2;mittel;right;5,284798;1,237575;5,427769;01.11.2023 17:05:15
26;58;4;2;mittel;right;1,58329;-8,747927;8,890053;01.11.2023 17:05:16
26;59;4;2;mittel;right;10,11223;-3,381641;10,66267;01.11.2023 17:05:17
26;60;4;2;mittel;right;-3,011656;1,288638;3,275768;01.11.2023 17:05:19
