Participant;hit;position;series;hammer;left/righthanded; x [mm];y [mm];distance [mm];timecode
;;;;;;;;;
11;1;1;1;mittel;right;-0,2341176;0,5615219;0,6083732;20.10.2023 10:16:49
11;2;1;1;mittel;right;5,402646;13,33552;14,38835;20.10.2023 10:16:50
11;3;1;1;mittel;right;-2,150317;4,142743;4,667568;20.10.2023 10:16:51
11;4;1;1;mittel;right;-4,330419;7,889512;8,999829;20.10.2023 10:16:52
11;5;1;1;mittel;right;-1,70587;5,617804;5,871091;20.10.2023 10:16:53
11;6;2;1;mittel;right;-1,813982;3,706587;4,126659;20.10.2023 10:17:13
11;7;2;1;mittel;right;4,976009;10,46187;11,58496;20.10.2023 10:17:14
11;8;2;1;mittel;right;-3,324977;10,40657;10,92484;20.10.2023 10:17:15
11;9;2;1;mittel;right;3,32504;9,014467;9,608149;20.10.2023 10:17:16
11;10;2;1;mittel;right;-5,778913;5,918498;8,271908;20.10.2023 10:17:17
11;11;3;1;mittel;right;-2,213484;6,891277;7,238039;20.10.2023 10:17:24
11;12;3;1;mittel;right;-1,694984;5,480425;5,736552;20.10.2023 10:17:25
11;13;3;1;mittel;right;5,713981;4,225251;7,106499;20.10.2023 10:17:26
11;14;3;1;mittel;right;-3,483476;-2,313144;4,181536;20.10.2023 10:17:27
11;15;3;1;mittel;right;1,135196;0,5719649;1,271146;20.10.2023 10:17:28
11;16;4;1;mittel;right;-1,143539;7,519976;7,606426;20.10.2023 10:17:34
11;17;4;1;mittel;right;4,949237;-0,09962817;4,950239;20.10.2023 10:17:35
11;18;4;1;mittel;right;1,237758;0,9904124;1,585233;20.10.2023 10:17:36
11;19;4;1;mittel;right;-0,7733756;3,417041;3,503467;20.10.2023 10:17:37
11;20;4;1;mittel;right;4,145734;-0,7836673;4,219152;20.10.2023 10:17:38
11;21;5;1;mittel;right;-1,834147;2,069432;2,765257;20.10.2023 10:17:45
11;22;5;1;mittel;right;1,062047;3,327384;3,492768;20.10.2023 10:17:45
11;23;5;1;mittel;right;1,800737;1,514001;2,352626;20.10.2023 10:17:46
11;24;5;1;mittel;right;0,5486703;1,654806;1,743394;20.10.2023 10:17:47
11;25;5;1;mittel;right;0,1399657;6,052347;6,053965;20.10.2023 10:17:47
11;26;5;1;mittel;right;1,601738;2,241838;2,75525;20.10.2023 10:17:48
11;27;5;1;mittel;right;-3,551216;-0,877232;3,65796;20.10.2023 10:17:49
11;28;6;1;mittel;right;4,360887;2,593911;5,074023;20.10.2023 10:17:53
11;29;6;1;mittel;right;-3,508616;2,564379;4,345851;20.10.2023 10:17:54
11;30;6;1;mittel;right;-0,2544265;7,428635;7,43299;20.10.2023 10:17:55
11;31;6;1;mittel;right;-0,420536;-0,8386322;0,9381655;20.10.2023 10:17:56
11;32;6;1;mittel;right;1,297797;3,620627;3,846195;20.10.2023 10:17:57
11;33;2;2;mittel;right;2,587196;-1,728482;3,111468;20.10.2023 10:18:44
11;34;2;2;mittel;right;-3,395217;3,340438;4,762985;20.10.2023 10:18:45
11;35;2;2;mittel;right;3,275559;-5,40122;6,31684;20.10.2023 10:18:46
11;36;2;2;mittel;right;-0,1685155;3,658601;3,66248;20.10.2023 10:18:46
11;37;2;2;mittel;right;-8,145389;-1,195223;8,232613;20.10.2023 10:18:47
11;38;1;2;mittel;right;6,341603;1,340348;6,481701;20.10.2023 10:18:54
11;39;1;2;mittel;right;-1,162365;-3,182456;3,388085;20.10.2023 10:18:55
11;40;1;2;mittel;right;-0,4479032;0,1905492;0,4867508;20.10.2023 10:18:56
11;41;1;2;mittel;right;-2,211616;-0,4938129;2,266075;20.10.2023 10:18:56
11;42;1;2;mittel;right;-6,355664;3,039972;7,045274;20.10.2023 10:18:57
11;43;3;2;mittel;right;-3,796227;-4,358632;5,780052;20.10.2023 10:19:03
11;44;3;2;mittel;right;-5,037132;-2,719377;5,724308;20.10.2023 10:19:04
11;45;3;2;mittel;right;-3,855594;2,540924;4,617564;20.10.2023 10:19:05
11;46;3;2;mittel;right;-8,015737;-2,34544;8,351833;20.10.2023 10:19:06
11;47;3;2;mittel;right;0,3328626;1,973349;2,001225;20.10.2023 10:19:07
11;48;6;2;mittel;right;-2,271671;8,124014;8,435644;20.10.2023 10:19:12
11;49;6;2;mittel;right;-1,164812;1,817455;2,158687;20.10.2023 10:19:13
11;50;6;2;mittel;right;0,009037371;1,94873;1,94875;20.10.2023 10:19:13
11;51;6;2;mittel;right;-1,364249;4,359588;4,568061;20.10.2023 10:19:14
11;52;6;2;mittel;right;-2,728909;0,433684;2,763155;20.10.2023 10:19:15
11;53;4;2;mittel;right;4,298929;12,13908;12,87781;20.10.2023 10:19:22
11;54;4;2;mittel;right;-2,570761;1,214539;2,843223;20.10.2023 10:19:22
11;55;4;2;mittel;right;2,754157;-0,7485421;2,854066;20.10.2023 10:19:23
11;56;4;2;mittel;right;4,658761;-1,67894;4,95206;20.10.2023 10:19:24
11;57;4;2;mittel;right;2,71731;0,7318712;2,814144;20.10.2023 10:19:25
11;58;5;2;mittel;right;6,528454;-7,70667;10,10017;20.10.2023 10:19:30
11;59;5;2;mittel;right;0,5365158;2,770931;2,822394;20.10.2023 10:19:31
11;60;5;2;mittel;right;6,253532;-1,962791;6,554328;20.10.2023 10:19:31
11;61;5;2;mittel;right;2,135886;1,251468;2,475516;20.10.2023 10:19:32
11;62;5;2;mittel;right;-4,11581;-4,774793;6,303851;20.10.2023 10:19:33
11;63;5;2;mittel;right;-2,693001;-2,38686;3,598521;20.10.2023 10:19:34
