Participant;hit;position;series;hammer;left/righthanded; x [mm];y [mm];distance [mm];timecode
;;;;;;;;;
15;1;6;1;mittel;right;-17,28447;-22,1635;28,10647;24.10.2023 08:45:47
15;2;6;1;mittel;right;2,526332;-23,98821;24,12087;24.10.2023 08:45:48
15;3;6;1;mittel;right;1,586494;-24,85741;24,90798;24.10.2023 08:45:49
15;4;6;1;mittel;right;0,2211128;-29,62343;29,62425;24.10.2023 08:45:50
15;5;6;1;mittel;right;3,026678;-42,25496;42,36322;24.10.2023 08:45:51
15;6;3;1;mittel;right;-7,90609;2,134053;8,189045;24.10.2023 08:46:02
15;7;3;1;mittel;right;-0,8569666;-3,906755;3,999641;24.10.2023 08:46:03
15;8;3;1;mittel;right;10,90622;-13,83633;17,61788;24.10.2023 08:46:04
15;9;3;1;mittel;right;-8,935507;-7,439147;11,62687;24.10.2023 08:46:06
15;10;3;1;mittel;right;7,019238;-11,1087;13,14051;24.10.2023 08:46:07
15;11;1;1;mittel;right;-3,285067;-8,259422;8,888741;24.10.2023 08:46:23
15;12;1;1;mittel;right;-2,957577;-9,582016;10,02808;24.10.2023 08:46:24
15;13;1;1;mittel;right;-8,731286;-8,092113;11,90452;24.10.2023 08:46:25
15;14;1;1;mittel;right;-2,701674;-5,758757;6,361;24.10.2023 08:46:26
15;15;1;1;mittel;right;-0,2005503;3,290663;3,296768;24.10.2023 08:46:27
15;16;4;1;mittel;right;3,879311;-7,436245;8,3873;24.10.2023 08:46:31
15;17;4;1;mittel;right;7,278372;4,957783;8,806492;24.10.2023 08:46:32
15;18;4;1;mittel;right;0,8146275;1,223833;1,470165;24.10.2023 08:46:33
15;19;4;1;mittel;right;-2,683635;-1,001716;2,864496;24.10.2023 08:46:34
15;20;4;1;mittel;right;-7,728595;1,395123;7,853506;24.10.2023 08:46:35
15;21;2;1;mittel;right;-4,487702;-12,82193;13,5846;24.10.2023 08:46:39
15;22;2;1;mittel;right;2,227556;5,152752;5,613632;24.10.2023 08:46:48
15;23;2;1;mittel;right;-7,514261;17,3536;18,91062;24.10.2023 08:46:49
15;24;2;1;mittel;right;-1,862622;16,50896;16,61371;24.10.2023 08:46:50
15;25;2;1;mittel;right;-1,429639;8,992994;9,105922;24.10.2023 08:46:51
15;26;5;1;mittel;right;-0,08744011;4,368793;4,369668;24.10.2023 08:46:57
15;27;5;1;mittel;right;1,178597;5,652481;5,774048;24.10.2023 08:46:58
15;28;5;1;mittel;right;0,8949112;4,369369;4,460073;24.10.2023 08:46:59
15;29;5;1;mittel;right;1,505031;7,258728;7,413113;24.10.2023 08:47:00
15;30;5;1;mittel;right;1,259837;3,936003;4,132712;24.10.2023 08:47:01
15;31;1;2;mittel;right;-4,688481;-9,624719;10,70594;24.10.2023 08:49:07
15;32;1;2;mittel;right;-4,412374;0,02340183;4,412436;24.10.2023 08:49:09
15;33;1;2;mittel;right;-3,97842;4,235005;5,810602;24.10.2023 08:49:10
