Participant;hit;position;series;hammer;left/righthanded; x [mm];y [mm];distance [mm];timecode
;;;;;;;;;
12;1;4;1;mittel;right;12,2855;-5,177294;13,33184;20.10.2023 15:56:33
12;2;4;1;mittel;right;9,728592;-0,9663399;9,776467;20.10.2023 15:56:34
12;3;4;1;mittel;right;2,301546;7,773576;8,107133;20.10.2023 15:56:35
12;4;4;1;mittel;right;8,075437;-1,912175;8,29874;20.10.2023 15:56:36
12;5;4;1;mittel;right;5,722776;-4,026401;6,99729;20.10.2023 15:56:37
12;6;2;1;mittel;right;8,276546;-11,8469;14,45165;20.10.2023 15:56:42
12;7;2;1;mittel;right;11,26819;-2,157854;11,47294;20.10.2023 15:56:43
12;8;2;1;mittel;right;7,813896;-8,489663;11,53826;20.10.2023 15:56:44
12;9;2;1;mittel;right;2,940224;2,477437;3,844816;20.10.2023 15:56:45
12;10;2;1;mittel;right;5,643453;-12,0676;13,32199;20.10.2023 15:56:46
12;11;5;1;mittel;right;11,8525;-8,752081;14,73366;20.10.2023 15:56:52
12;12;5;1;mittel;right;20,32745;-9,428189;22,4075;20.10.2023 15:56:53
12;13;5;1;mittel;right;5,776059;-14,06715;15,20683;20.10.2023 15:56:53
12;14;5;1;mittel;right;12,18592;-17,11408;21,00924;20.10.2023 15:56:54
12;15;5;1;mittel;right;11,745;-18,23148;21,68714;20.10.2023 15:56:55
12;16;3;1;mittel;right;13,37325;-14,43804;19,67996;20.10.2023 15:57:04
12;17;3;1;mittel;right;8,872128;-5,404661;10,3887;20.10.2023 15:57:05
12;18;3;1;mittel;right;1,466435;-15,95646;16,0237;20.10.2023 15:57:06
12;19;3;1;mittel;right;0,9607662;-12,76776;12,80386;20.10.2023 15:57:07
12;20;3;1;mittel;right;4,07298;1,823879;4,462702;20.10.2023 15:57:08
12;21;6;1;mittel;right;4,416127;-11,94762;12,73765;20.10.2023 15:57:13
12;22;6;1;mittel;right;6,675308;-7,990058;10,41157;20.10.2023 15:57:14
12;23;6;1;mittel;right;9,262133;-1,547169;9,390465;20.10.2023 15:57:15
12;24;6;1;mittel;right;-2,912605;-6,997057;7,579055;20.10.2023 15:57:16
12;25;6;1;mittel;right;11,37891;-22,97503;25,63848;20.10.2023 15:57:17
12;26;1;1;mittel;right;10,80779;-9,724833;14,53894;20.10.2023 15:57:23
12;27;1;1;mittel;right;6,690062;-3,169318;7,402804;20.10.2023 15:57:24
12;28;1;1;mittel;right;5,346783;4,521507;7,002294;20.10.2023 15:57:25
12;29;1;1;mittel;right;6,928393;-11,09665;13,08198;20.10.2023 15:57:26
12;30;1;1;mittel;right;10,77842;3,407313;11,30416;20.10.2023 15:57:27
12;31;3;2;mittel;right;1,020557;-23,65927;23,68127;20.10.2023 16:00:22
12;32;3;2;mittel;right;5,107833;-11,24091;12,34698;20.10.2023 16:00:23
12;33;3;2;mittel;right;2,622682;-10,9483;11,25806;20.10.2023 16:00:24
12;34;3;2;mittel;right;7,14153;-3,591835;7,993919;20.10.2023 16:00:25
12;35;3;2;mittel;right;16,35318;-10,74172;19,56556;20.10.2023 16:00:26
12;36;5;2;mittel;right;6,214673;-14,91122;16,15446;20.10.2023 16:00:31
12;37;5;2;mittel;right;6,756008;0,3512322;6,765131;20.10.2023 16:00:32
12;38;5;2;mittel;right;2,084218;-10,39366;10,60057;20.10.2023 16:00:33
12;39;5;2;mittel;right;0,572547;-2,575817;2,638682;20.10.2023 16:00:34
12;40;5;2;mittel;right;7,601724;-12,91519;14,98627;20.10.2023 16:00:35
12;41;1;2;mittel;right;15,26789;-6,584868;16,62735;20.10.2023 16:00:40
12;42;1;2;mittel;right;0,7175871;-3,523999;3,596317;20.10.2023 16:00:40
12;43;1;2;mittel;right;12,95251;-0,03558394;12,95256;20.10.2023 16:00:41
12;44;1;2;mittel;right;14,11214;0,2603533;14,11454;20.10.2023 16:00:42
12;45;1;2;mittel;right;8,565821;4,707734;9,774255;20.10.2023 16:00:43
12;46;6;2;mittel;right;7,938131;-14,30796;16,3625;20.10.2023 16:00:48
12;47;6;2;mittel;right;0,6063551;-2,437882;2,512157;20.10.2023 16:00:48
12;48;6;2;mittel;right;-2,243991;-6,582973;6,954928;20.10.2023 16:00:49
12;49;6;2;mittel;right;3,647357;-9,690478;10,35416;20.10.2023 16:00:50
12;50;6;2;mittel;right;-0,0116756;-7,444788;7,444798;20.10.2023 16:00:51
12;51;2;2;mittel;right;19,5059;-5,644155;20,30607;20.10.2023 16:00:55
12;52;2;2;mittel;right;-1,708324;2,813542;3,291564;20.10.2023 16:00:56
12;53;2;2;mittel;right;6,188418;-14,22082;15,50898;20.10.2023 16:00:57
12;54;2;2;mittel;right;-1,993659;0,8551277;2,169313;20.10.2023 16:00:58
12;55;2;2;mittel;right;20,85095;-1,11802;20,8809;20.10.2023 16:00:59
12;56;4;2;mittel;right;-2,133041;-4,846292;5,294943;20.10.2023 16:01:03
12;57;4;2;mittel;right;16,54561;-1,191878;16,58848;20.10.2023 16:01:04
12;58;4;2;mittel;right;21,17669;-8,065837;22,66076;20.10.2023 16:01:05
12;59;4;2;mittel;right;15,79571;-12,16873;19,93947;20.10.2023 16:01:06
12;60;4;2;mittel;right;7,182538;-7,069391;10,07795;20.10.2023 16:01:07
