Participant;hit;position;series;hammer;left/righthanded; x [mm];y [mm];distance [mm];timecode
;;;;;;;;;
06;1;6;1;mittel;right;-22,99583;-29,65685;37,52782;18.10.2023 15:59:11
06;2;6;1;mittel;right;-24,20428;-42,59872;48,99488;18.10.2023 15:59:11
06;3;6;1;mittel;right;-27,05253;-47,38479;54,56334;18.10.2023 15:59:12
06;4;6;1;mittel;right;-22,50082;-46,76969;51,90078;18.10.2023 15:59:13
06;5;6;1;mittel;right;-20,24299;-58,39355;61,80279;18.10.2023 15:59:14
06;6;1;1;mittel;right;0,4899016;-7,267347;7,283841;18.10.2023 15:59:25
06;7;1;1;mittel;right;12,23245;-53,06473;54,45639;18.10.2023 15:59:26
06;8;1;1;mittel;right;14,35221;-66,22126;67,7587;18.10.2023 15:59:27
06;9;1;1;mittel;right;8,518733;-62,75771;63,33324;18.10.2023 15:59:28
06;10;1;1;mittel;right;1,424866;-60,88908;60,90575;18.10.2023 15:59:29
06;11;2;1;mittel;right;-15,82372;-27,66089;31,86715;18.10.2023 15:59:36
06;12;2;1;mittel;right;-7,120743;-67,88759;68,26002;18.10.2023 15:59:38
06;13;2;1;mittel;right;-1,834516;-67,56883;67,59373;18.10.2023 15:59:39
06;14;2;1;mittel;right;-42,30008;-57,77218;71,60253;18.10.2023 15:59:40
06;15;2;1;mittel;right;-29,28506;-41,49509;50,78836;18.10.2023 15:59:41
06;16;5;1;mittel;right;-5,823859;-10,15448;11,70602;18.10.2023 15:59:48
06;17;5;1;mittel;right;-29,44694;-59,57931;66,45914;18.10.2023 15:59:49
06;18;5;1;mittel;right;-1,347378;-43,21749;43,23849;18.10.2023 15:59:49
06;19;5;1;mittel;right;-19,34172;-60,25379;63,28207;18.10.2023 15:59:50
06;20;5;1;mittel;right;-9,529518;-28,14824;29,71758;18.10.2023 15:59:51
06;21;3;1;mittel;right;-30,21928;-36,78546;47,60646;18.10.2023 15:59:59
06;22;3;1;mittel;right;-11,3967;-42,55513;44,05478;18.10.2023 16:00:01
06;23;3;1;mittel;right;-13,20915;-16,0165;20,76078;18.10.2023 16:00:08
06;24;3;1;mittel;right;-16,36081;-88,32246;89,825;18.10.2023 16:00:12
06;25;3;1;mittel;right;-50,06562;-34,72232;60,92787;18.10.2023 16:00:14
06;26;4;1;mittel;right;11,16505;-12,84199;17,01691;18.10.2023 16:00:36
06;27;4;1;mittel;right;16,12391;-12,66758;20,50483;18.10.2023 16:00:38
06;28;4;1;mittel;right;5,280899;-28,50014;28,98527;18.10.2023 16:00:39
06;29;4;1;mittel;right;22,85051;-31,87343;39,21813;18.10.2023 16:00:40
06;30;4;1;mittel;right;8,599272;-31,90759;33,04605;18.10.2023 16:00:41
06;31;2;2;mittel;right;1,71;-49,75939;49,78876;18.10.2023 16:02:16
06;32;2;2;mittel;right;-4,560396;-49,28451;49,49505;18.10.2023 16:02:17
06;33;2;2;mittel;right;-4,057708;-50,22561;50,38925;18.10.2023 16:02:19
06;34;2;2;mittel;right;0,6638522;-49,88695;49,89137;18.10.2023 16:02:20
06;35;2;2;mittel;right;-2,895411;-49,86287;49,94687;18.10.2023 16:02:21
06;36;6;2;mittel;right;-25,35907;-24,04424;34,94579;18.10.2023 16:02:26
06;37;6;2;mittel;right;-21,33458;-24,84648;32,74923;18.10.2023 16:02:27
06;38;6;2;mittel;right;-15,90158;-23,09212;28,03758;18.10.2023 16:02:28
06;39;6;2;mittel;right;-29,43818;-15,86712;33,44207;18.10.2023 16:02:30
06;40;6;2;mittel;right;14,10974;-33,09262;35,97507;18.10.2023 16:02:31
06;41;5;2;mittel;right;-0,5278949;-15,95501;15,96374;18.10.2023 16:02:37
06;42;5;2;mittel;right;1,76306;-6,450297;6,686906;18.10.2023 16:02:38
06;43;5;2;mittel;right;1,903851;-36,0779;36,12811;18.10.2023 16:02:39
06;44;5;2;mittel;right;-6,015231;-33,76803;34,29961;18.10.2023 16:02:40
06;45;5;2;mittel;right;-39,82668;-17,06758;43,32974;18.10.2023 16:02:41
06;46;4;2;mittel;right;-3,136396;-20,67275;20,90932;18.10.2023 16:02:48
06;47;4;2;mittel;right;6,464136;-16,59986;17,81405;18.10.2023 16:02:49
06;48;4;2;mittel;right;6,000158;-29,04099;29,65436;18.10.2023 16:02:50
06;49;4;2;mittel;right;-2,364522;-19,95675;20,09634;18.10.2023 16:02:51
06;50;1;2;mittel;right;-1,091933;-33,78974;33,80738;18.10.2023 16:03:00
06;51;1;2;mittel;right;8,156549;-17,44433;19,25705;18.10.2023 16:03:01
06;52;1;2;mittel;right;10,19917;-28,02559;29,82376;18.10.2023 16:03:03
06;53;1;2;mittel;right;6,699912;-12,60689;14,27664;18.10.2023 16:03:04
06;54;1;2;mittel;right;1,405054;-30,71946;30,75158;18.10.2023 16:03:05
06;55;3;2;mittel;right;-9,023836;-21,38094;23,2072;18.10.2023 16:03:11
06;56;3;2;mittel;right;-1,678052;-25,34544;25,40093;18.10.2023 16:03:12
06;57;3;2;mittel;right;-12,59333;8,795735;15,36089;18.10.2023 16:03:13
06;58;3;2;mittel;right;-17,73291;2,491304;17,90706;18.10.2023 16:03:15
