Participant;hit;position;series;x [mm];y [mm];distance [mm]
5,0;1,0;1,0;1,0;2,240000000000009;-7,0;7,349666659107748
5,0;2,0;1,0;1,0;7,420000000000002;-8,820000000000007;11,526005379141559
5,0;3,0;1,0;1,0;0,0;-7,840000000000003;7,840000000000003
5,0;4,0;1,0;1,0;3,780000000000001;4,47999999999999;5,861637996328323
5,0;5,0;1,0;1,0;-2,519999999999996;2,799999999999997;3,767014733180634
5,0;6,0;1,0;1,0;-1,3999999999999915;13,019999999999996;13,095052500849315
5,0;7,0;2,0;1,0;1,1199999999999903;-0,8400000000000034;1,3999999999999944
5,0;8,0;2,0;1,0;5,460000000000008;2,3799999999999955;5,956173268131146
5,0;9,0;2,0;1,0;4,200000000000003;0,5600000000000023;4,237168866118039
5,0;10,0;2,0;1,0;-8,260000000000005;-0,2799999999999869;8,264744400161451
5,0;11,0;2,0;1,0;6,300000000000011;-9,099999999999994;11,067971810589329
5,0;13,0;3,0;1,0;1,1199999999999903;-2,240000000000009;2,504396134799768
5,0;14,0;3,0;1,0;0,980000000000004;-4,340000000000018;4,449269602979815
5,0;15,0;3,0;1,0;4,47999999999999;-4,340000000000018;6,237467434784735
5,0;16,0;3,0;1,0;6,019999999999996;4,760000000000005;7,674503241252817
5,0;17,0;3,0;1,0;-3,780000000000001;-25,060000000000002;25,34348042396703
5,0;19,0;4,0;1,0;-4,060000000000002;0,28000000000000114;4,06964371904962
5,0;20,0;4,0;1,0;-4,760000000000005;3,780000000000001;6,0783221369058795
5,0;21,0;4,0;1,0;3,500000000000014;0,980000000000004;3,6346113960092223
5,0;22,0;4,0;1,0;8,539999999999992;0,28000000000000114;8,544588931013584
5,0;25,0;5,0;1,0;-1,2600000000000051;-2,3799999999999955;2,692953768633987
5,0;26,0;5,0;1,0;3,500000000000014;-6,300000000000011;7,206941098690917
5,0;27,0;5,0;1,0;6,579999999999998;6,019999999999996;8,918340652834468
5,0;28,0;5,0;1,0;-1,960000000000008;-5,599999999999994;5,933093628116782
5,0;29,0;5,0;1,0;4,8999999999999915;-11,47999999999999;12,482003044383529
5,0;31,0;6,0;1,0;2,1000000000000085;-1,9599999999999937;2,8725598340156484
5,0;32,0;6,0;1,0;-1,960000000000008;-8,959999999999994;9,171870038329148
5,0;33,0;6,0;1,0;0,14000000000001478;-14,980000000000004;14,980654191322891
5,0;34,0;6,0;1,0;12,040000000000006;-8,260000000000005;14,600999965755777
5,0;37,0;1,0;2,0;-0,8400000000000034;-2,9399999999999977;3,0576461534978163
5,0;38,0;1,0;2,0;4,47999999999999;-3,0800000000000125;5,436616594905327
5,0;39,0;1,0;2,0;5,88000000000001;-9,379999999999995;11,070627805142761
5,0;40,0;1,0;2,0;-12,179999999999993;-0,5600000000000023;12,192866767089676
5,0;41,0;1,0;2,0;14,420000000000002;-1,9599999999999937;14,552594270438519
5,0;43,0;2,0;2,0;5,599999999999994;-0,14000000000001478;5,601749726647911
5,0;44,0;2,0;2,0;8,11999999999999;6,019999999999996;10,10815512346342
5,0;45,0;2,0;2,0;4,060000000000002;7,0;8,09219376930632
5,0;46,0;2,0;2,0;2,799999999999997;5,460000000000008;6,136089960227121
5,0;47,0;2,0;2,0;9,519999999999996;-18,760000000000005;21,03730020701326
5,0;49,0;3,0;2,0;-0,28000000000000114;-1,2600000000000051;1,2907362240210096
5,0;50,0;3,0;2,0;4,200000000000003;1,8199999999999932;4,577379162796109
5,0;51,0;3,0;2,0;3,500000000000014;-3,6400000000000006;5,049712863124012
5,0;52,0;3,0;2,0;-2,239999999999995;-14,699999999999989;14,869687286557161
5,0;53,0;3,0;2,0;3,500000000000014;-7,699999999999989;8,458132181516195
5,0;55,0;4,0;2,0;0,6999999999999886;-2,240000000000009;2,346827645993635
5,0;56,0;4,0;2,0;-0,980000000000004;-5,040000000000006;5,134393829849836
5,0;57,0;4,0;2,0;2,240000000000009;-6,159999999999997;6,55463195000299
5,0;58,0;4,0;2,0;15,400000000000006;-8,680000000000007;17,677737411784356
5,0;59,0;4,0;2,0;-0,7000000000000028;4,060000000000002;4,119902911477408
5,0;61,0;5,0;2,0;0,0;2,6599999999999966;2,6599999999999966
5,0;62,0;5,0;2,0;15,679999999999993;3,0799999999999983;15,979637042185901
5,0;63,0;5,0;2,0;3,920000000000016;-2,519999999999996;4,660128753586118
5,0;64,0;5,0;2,0;7,560000000000002;-4,47999999999999;8,787718702826117
5,0;65,0;5,0;2,0;0,6999999999999886;-10,64;10,663001453624585
5,0;67,0;6,0;2,0;-1,3999999999999915;-2,660000000000011;3,00592747750175
5,0;68,0;6,0;2,0;2,1000000000000085;3,780000000000001;4,324164659214545
5,0;69,0;6,0;2,0;-4,47999999999999;3,3599999999999994;5,599999999999992
5,0;70,0;6,0;2,0;4,47999999999999;-6,579999999999998;7,9603266264645125
5,0;71,0;6,0;2,0;-10,5;-18,47999999999999;21,25465596051838
