Participant;hit;position;series;x [mm];y [mm];distance [mm]
31,0;1,0;1,0;1,0;0,5600000000000023;-1,9599999999999937;2,03843076899854
31,0;2,0;1,0;1,0;0,980000000000004;-5,599999999999994;5,685103341189142
31,0;3,0;1,0;1,0;-1,5400000000000063;-7,560000000000002;7,715257610734723
31,0;4,0;1,0;1,0;4,759999999999991;-6,859999999999985;8,349682628699112
31,0;5,0;1,0;1,0;4,060000000000002;-8,400000000000006;9,329715965665843
31,0;6,0;1,0;1,0;16,939999999999998;2,519999999999996;17,126412350518713
31,0;7,0;1,0;1,0;0,5600000000000023;-16,939999999999998;16,949253670884744
31,0;10,0;2,0;1,0;-3,9200000000000017;-2,9399999999999977;4,8999999999999995
31,0;11,0;2,0;1,0;-0,5600000000000023;1,3999999999999915;1,507846145997654
31,0;12,0;2,0;1,0;4,6200000000000045;-2,799999999999997;5,402258786840929
31,0;13,0;2,0;1,0;3,920000000000016;3,9200000000000017;5,543717164502545
31,0;14,0;2,0;1,0;14,14;8,120000000000005;16,305643194918748
31,0;19,0;3,0;1,0;2,660000000000011;-2,1000000000000085;3,389041162334871
31,0;20,0;3,0;1,0;3,780000000000001;-3,219999999999999;4,965561398271096
31,0;21,0;3,0;1,0;-1,960000000000008;-4,6200000000000045;5,0185655321017855
31,0;22,0;3,0;1,0;-0,8400000000000034;-7,699999999999989;7,745682668428898
31,0;23,0;3,0;1,0;-5,040000000000006;13,579999999999998;14,48509578843026
31,0;24,0;3,0;1,0;7,0;-14,699999999999989;16,2815846894582
31,0;25,0;3,0;1,0;16,24000000000001;-0,980000000000004;16,26954209558463
31,0;26,0;3,0;1,0;11,47999999999999;-5,739999999999995;12,835030190848782
31,0;27,0;3,0;1,0;-8,120000000000005;-11,620000000000005;14,175993792323704
31,0;28,0;4,0;1,0;-1,5400000000000063;0,5600000000000023;1,6386579875007543
31,0;29,0;4,0;1,0;1,4000000000000057;-1,539999999999992;2,0812496246245886
31,0;30,0;4,0;1,0;-0,14000000000000057;-2,799999999999997;2,803497815230107
31,0;31,0;4,0;1,0;-7,280000000000001;-0,2799999999999869;7,2853826255043055
31,0;32,0;4,0;1,0;7,560000000000002;-2,240000000000009;7,88487159058409
31,0;33,0;4,0;1,0;6,300000000000011;-12,040000000000006;13,588657034453416
31,0;34,0;4,0;1,0;8,260000000000005;-15,259999999999991;17,35209497438277
31,0;37,0;5,0;1,0;3,0800000000000125;0,4200000000000017;3,108504463564445
31,0;38,0;5,0;1,0;-4,760000000000005;-4,200000000000003;6,348039067302601
31,0;39,0;5,0;1,0;-3,6400000000000006;-0,5600000000000023;3,6828250026304543
31,0;40,0;5,0;1,0;4,340000000000018;-6,859999999999985;8,117585848021562
31,0;41,0;5,0;1,0;-1,2600000000000051;-7,420000000000002;7,526220831200746
31,0;46,0;6,0;1,0;4,6200000000000045;-0,2799999999999869;4,628477071348635
31,0;47,0;6,0;1,0;1,8200000000000074;-5,040000000000006;5,358544578521307
31,0;48,0;6,0;1,0;-6,439999999999998;-0,5600000000000023;6,464301973144507
31,0;49,0;6,0;1,0;7,279999999999987;1,960000000000008;7,5392307299882955
31,0;50,0;6,0;1,0;9,379999999999995;-3,6400000000000006;10,061510820945328
31,0;55,0;2,0;2,0;3,219999999999999;2,1000000000000085;3,844268460968878
31,0;56,0;2,0;2,0;3,0800000000000125;-0,0;3,0800000000000125
31,0;57,0;2,0;2,0;-1,960000000000008;2,9399999999999977;3,533440249954712
31,0;58,0;2,0;2,0;-4,200000000000003;-1,539999999999992;4,473432686427728
31,0;59,0;2,0;2,0;-4,060000000000002;-6,159999999999997;7,377614790703021
31,0;60,0;2,0;2,0;-0,28000000000000114;-9,66000000000001;9,664057119036508
31,0;61,0;2,0;2,0;2,9399999999999977;-7,0;7,592338243255498
31,0;62,0;2,0;2,0;3,219999999999999;9,659999999999997;10,182534065742178
31,0;64,0;3,0;2,0;9,519999999999996;0,5600000000000023;9,53645636491878
31,0;65,0;3,0;2,0;1,9599999999999937;-1,4000000000000057;2,408651074771934
31,0;66,0;3,0;2,0;4,8999999999999915;-4,200000000000003;6,453681120105017
31,0;67,0;3,0;2,0;-0,4200000000000017;-5,88000000000001;5,894980915999653
31,0;68,0;3,0;2,0;2,660000000000011;-8,539999999999992;8,944674393179437
31,0;69,0;3,0;2,0;-9,239999999999995;-11,899999999999991;15,06610765924629
31,0;73,0;4,0;2,0;3,0800000000000125;-0,2799999999999869;3,0927010848124445
31,0;74,0;4,0;2,0;-2,519999999999996;-4,200000000000003;4,897999591670053
31,0;75,0;4,0;2,0;3,3599999999999994;-4,060000000000002;5,270028462921241
31,0;76,0;4,0;2,0;7,0;3,3599999999999994;7,764637789362746
31,0;77,0;4,0;2,0;2,799999999999997;-7,279999999999987;7,799897435223094
31,0;78,0;4,0;2,0;0,8400000000000034;-10,219999999999999;10,254462443248793
31,0;79,0;4,0;2,0;-7,140000000000001;-3,0800000000000125;7,775988683119342
31,0;82,0;5,0;2,0;1,4000000000000057;-2,1000000000000085;2,523885892824803
31,0;83,0;5,0;2,0;-2,6599999999999966;-1,8200000000000074;3,223042041301976
31,0;84,0;5,0;2,0;3,500000000000014;1,1200000000000045;3,6748333295538873
31,0;85,0;5,0;2,0;2,9399999999999977;4,340000000000003;5,242060663517736
31,0;86,0;5,0;2,0;2,1000000000000085;-9,519999999999996;9,74886660079006
