Participant;hit;position;series;x [mm];y [mm];distance [mm]
22,0;1,0;1,0;1,0;-0,5600000000000023;0,4200000000000017;0,7000000000000028
22,0;2,0;1,0;1,0;1,8200000000000074;-3,0800000000000125;3,577541054970593
22,0;3,0;1,0;1,0;4,8999999999999915;-9,379999999999995;10,582740665819976
22,0;4,0;1,0;1,0;7,0;8,540000000000006;11,042264260558163
22,0;5,0;1,0;1,0;8,959999999999994;-12,040000000000006;15,008104477248285
22,0;6,0;2,0;1,0;8,11999999999999;-4,6200000000000045;9,342312347593602
22,0;7,0;2,0;1,0;8,539999999999992;3,9200000000000017;9,3967015489479
22,0;8,0;2,0;1,0;7,560000000000002;-8,260000000000005;11,1973746923107
22,0;9,0;2,0;1,0;9,939999999999998;-13,859999999999985;17,05588461499431
22,0;10,0;2,0;1,0;12,180000000000007;-12,739999999999995;17,62554963681984
22,0;11,0;3,0;1,0;-1,5400000000000063;-1,539999999999992;2,177888886054565
22,0;12,0;3,0;1,0;1,8200000000000074;-1,9599999999999937;2,6746962444359923
22,0;13,0;3,0;1,0;-1,3999999999999915;3,780000000000001;4,03093041368863
22,0;14,0;3,0;1,0;-4,47999999999999;5,460000000000008;7,062719023152485
22,0;15,0;3,0;1,0;3,6400000000000006;8,260000000000005;9,026472179096332
22,0;16,0;4,0;1,0;0,4200000000000017;1,2600000000000051;1,3281566172707246
22,0;17,0;4,0;1,0;11,200000000000003;-3,6400000000000006;11,776654873095334
22,0;18,0;4,0;1,0;-16,799999999999997;-10,64;19,885914613112465
22,0;19,0;4,0;1,0;9,519999999999996;-18,620000000000005;20,912551255167315
22,0;20,0;4,0;1,0;26,879999999999995;12,040000000000006;29,453285045984256
22,0;21,0;5,0;1,0;2,1000000000000085;-2,1000000000000085;2,9698484809835115
22,0;22,0;5,0;1,0;1,9599999999999937;5,040000000000006;5,407698216431834
22,0;23,0;5,0;1,0;7,699999999999989;3,780000000000001;8,577785261942608
22,0;24,0;5,0;1,0;7,420000000000002;-11,760000000000005;13,905178891333982
22,0;25,0;5,0;1,0;-1,8199999999999932;-14,420000000000002;14,53440057243504
22,0;26,0;6,0;1,0;6,019999999999996;3,5;6,9635048646496935
22,0;27,0;6,0;1,0;10,080000000000013;-0,2799999999999869;10,083888139006712
22,0;28,0;6,0;1,0;0,8400000000000034;-10,780000000000001;10,812677744203793
22,0;29,0;6,0;1,0;7,980000000000004;-10,36;13,077079184588586
22,0;30,0;6,0;1,0;6,159999999999997;-11,760000000000005;13,275661942065264
22,0;31,0;1,0;2,0;6,579999999999998;1,5400000000000063;6,757810296242416
22,0;32,0;1,0;2,0;12,739999999999995;0,5600000000000023;12,752301753016978
22,0;33,0;1,0;2,0;14,14;-5,319999999999993;15,107680166061233
22,0;34,0;1,0;2,0;12,739999999999995;-13,159999999999997;18,316473459702873
22,0;35,0;1,0;2,0;14,840000000000003;-13,859999999999985;20,305792277081917
22,0;36,0;2,0;2,0;-1,2600000000000051;-5,319999999999993;5,467174773134652
22,0;37,0;2,0;2,0;3,780000000000001;-4,8999999999999915;6,18857010948409
22,0;38,0;2,0;2,0;-7,840000000000003;4,6200000000000045;9,100000000000005
22,0;39,0;2,0;2,0;5,88000000000001;-7,420000000000002;9,467354435110167
22,0;40,0;2,0;2,0;7,140000000000001;-7,980000000000004;10,707940978544851
22,0;41,0;3,0;2,0;9,939999999999998;-3,500000000000014;10,538197189272939
22,0;42,0;3,0;2,0;-0,14000000000000057;-6,300000000000011;6,301555363559074
22,0;43,0;3,0;2,0;-2,9399999999999977;-9,379999999999995;9,829954221663492
22,0;44,0;3,0;2,0;-0,4200000000000017;-14,840000000000003;14,845942206542503
22,0;46,0;4,0;2,0;1,8200000000000074;3,6400000000000006;4,069643719049622
22,0;47,0;4,0;2,0;-0,28000000000000114;-8,680000000000007;8,684514954791668
22,0;48,0;4,0;2,0;6,4399999999999835;-7,560000000000002;9,931122796542182
22,0;49,0;4,0;2,0;10,64;-7,840000000000003;13,216474567750662
22,0;50,0;4,0;2,0;17,080000000000013;11,760000000000005;20,7370200366398
22,0;51,0;5,0;2,0;0,8400000000000034;0,4200000000000017;0,9391485505499155
22,0;52,0;5,0;2,0;8,400000000000006;-1,6800000000000068;8,566352782835887
22,0;53,0;5,0;2,0;9,379999999999995;-5,179999999999993;10,715260146165367
22,0;54,0;5,0;2,0;3,920000000000016;-13,159999999999997;13,731423815467936
22,0;55,0;5,0;2,0;17,22;-5,88000000000001;18,19623037884496
22,0;56,0;6,0;2,0;-1,8199999999999932;-0,8400000000000034;2,0044949488586847
22,0;57,0;6,0;2,0;1,1199999999999903;-2,660000000000011;2,8861739379323685
22,0;58,0;6,0;2,0;5,739999999999995;-7,0;9,052491369783235
22,0;59,0;6,0;2,0;8,11999999999999;-5,739999999999995;9,943942879964656
22,0;60,0;6,0;2,0;13,299999999999997;-11,620000000000005;17,661098493581875
