Participant;hit;position;series;x [mm];y [mm];distance [mm]
27,0;1,0;1,0;1,0;-1,5400000000000063;-1,6800000000000068;2,2790348834539684
27,0;2,0;1,0;1,0;4,8999999999999915;-0,0;4,8999999999999915
27,0;3,0;1,0;1,0;3,500000000000014;2,239999999999995;4,1554301823036415
27,0;4,0;1,0;1,0;-0,4200000000000017;1,6800000000000068;1,7317043627594246
27,0;5,0;1,0;1,0;-6,579999999999998;-2,1000000000000085;6,906981974784647
27,0;6,0;1,0;1,0;5,179999999999993;4,760000000000005;7,0349129347846215
27,0;7,0;1,0;1,0;5,599999999999994;-1,6800000000000068;5,846571644989905
27,0;9,0;2,0;1,0;3,219999999999999;1,6800000000000068;3,6319140959003993
27,0;10,0;2,0;1,0;2,1000000000000085;3,9200000000000017;4,447066448795211
27,0;11,0;2,0;1,0;-2,1000000000000085;0,28000000000000114;2,118584433059026
27,0;12,0;2,0;1,0;-0,14000000000000057;0,28000000000000114;0,31304951684997184
27,0;13,0;2,0;1,0;4,759999999999991;-5,040000000000006;6,932474305758369
27,0;14,0;2,0;1,0;-1,8199999999999932;2,9399999999999977;3,4577449298639658
27,0;17,0;3,0;1,0;1,4000000000000057;-2,9399999999999977;3,2563169378916426
27,0;18,0;3,0;1,0;0,8400000000000034;0,5600000000000023;1,009554357129921
27,0;19,0;3,0;1,0;-0,5600000000000023;3,9200000000000017;3,959797974644668
27,0;20,0;3,0;1,0;8,11999999999999;-1,4000000000000057;8,239805822954802
27,0;21,0;3,0;1,0;1,4000000000000057;5,460000000000008;5,63663019897528
27,0;25,0;4,0;1,0;0,8400000000000034;0,5600000000000023;1,009554357129921
27,0;26,0;4,0;1,0;3,3599999999999994;0,8400000000000034;3,463408725518835
27,0;27,0;4,0;1,0;-2,1000000000000085;3,780000000000001;4,324164659214545
27,0;28,0;4,0;1,0;-6,159999999999997;0,4200000000000017;6,174301579935982
27,0;29,0;4,0;1,0;-2,9399999999999977;5,739999999999995;6,449123971517366
27,0;33,0;5,0;1,0;1,539999999999992;-1,8200000000000074;2,384114091229697
27,0;34,0;5,0;1,0;1,539999999999992;-0,0;1,539999999999992
27,0;35,0;5,0;1,0;-0,14000000000000057;1,960000000000008;1,9649936386665559
27,0;36,0;5,0;1,0;0,0;3,780000000000001;3,780000000000001
27,0;37,0;5,0;1,0;-2,3799999999999955;3,780000000000001;4,466855717392267
27,0;38,0;5,0;1,0;-4,6200000000000045;1,960000000000008;5,0185655321017855
27,0;39,0;5,0;1,0;-0,14000000000000057;5,460000000000008;5,461794576876732
27,0;40,0;5,0;1,0;-4,8999999999999915;5,180000000000007;7,130385683818231
27,0;41,0;6,0;1,0;-2,799999999999997;-4,47999999999999;5,283029433951688
27,0;42,0;6,0;1,0;6,579999999999998;5,88000000000001;8,824443325218882
27,0;43,0;6,0;1,0;7,0;-0,6999999999999886;7,0349129347846215
27,0;44,0;6,0;1,0;3,3599999999999994;1,5400000000000063;3,696106059084346
27,0;45,0;6,0;1,0;4,759999999999991;-0,5600000000000023;4,792827975214625
27,0;49,0;1,0;2,0;-4,8999999999999915;6,859999999999999;8,43027876170177
27,0;50,0;1,0;2,0;0,5600000000000023;4,200000000000003;4,237168866118039
27,0;51,0;1,0;2,0;2,519999999999996;3,0799999999999983;3,9795477129945267
27,0;52,0;1,0;2,0;6,579999999999998;1,1200000000000045;6,67463856699372
27,0;53,0;1,0;2,0;8,820000000000007;-8,11999999999999;11,988611262360623
27,0;54,0;1,0;2,0;0,980000000000004;-12,180000000000007;12,219361685456413
27,0;55,0;1,0;2,0;-1,1200000000000045;-3,219999999999999;3,409222785328058
27,0;56,0;1,0;2,0;-0,4200000000000017;0,28000000000000114;0,5047771785649605
27,0;57,0;2,0;2,0;5,88000000000001;1,1200000000000045;5,9857163314009565
27,0;58,0;2,0;2,0;0,8400000000000034;-1,2600000000000051;1,5143315356948817
27,0;59,0;2,0;2,0;-2,3799999999999955;0,14000000000000057;2,3841140912296916
27,0;60,0;2,0;2,0;-1,8199999999999932;1,6800000000000068;2,4768528418135785
27,0;61,0;2,0;2,0;0,980000000000004;11,340000000000003;11,382266909539597
27,0;65,0;3,0;2,0;1,9599999999999937;0,980000000000004;2,1913466179497902
27,0;66,0;3,0;2,0;0,0;2,3799999999999955;2,3799999999999955
27,0;67,0;3,0;2,0;2,519999999999996;-0,4200000000000017;2,5547602627252486
27,0;68,0;3,0;2,0;-2,9399999999999977;0,28000000000000114;2,953303235362056
27,0;69,0;3,0;2,0;3,780000000000001;2,1000000000000085;4,324164659214545
27,0;70,0;3,0;2,0;-1,2600000000000051;6,300000000000011;6,424764587126921
27,0;73,0;4,0;2,0;0,6999999999999886;-0,0;0,6999999999999886
27,0;74,0;4,0;2,0;-1,6800000000000068;-0,4200000000000017;1,7317043627594246
27,0;75,0;4,0;2,0;-1,8199999999999932;3,5;3,9449207850095007
27,0;76,0;4,0;2,0;0,2799999999999869;5,599999999999994;5,606995630460213
27,0;77,0;4,0;2,0;-1,2600000000000051;6,159999999999997;6,287543240407971
27,0;81,0;5,0;2,0;-1,960000000000008;2,9399999999999977;3,533440249954712
27,0;82,0;5,0;2,0;0,4200000000000017;2,1000000000000085;2,1415881957089784
27,0;83,0;5,0;2,0;1,539999999999992;4,340000000000003;4,605127576951588
27,0;84,0;5,0;2,0;5,040000000000006;3,780000000000001;6,300000000000005
27,0;85,0;5,0;2,0;2,519999999999996;1,960000000000008;3,192491190277588
27,0;89,0;6,0;2,0;-1,8199999999999932;0,5600000000000023;1,9042058712229564
27,0;90,0;6,0;2,0;2,660000000000011;0,4200000000000017;2,6929537686339993
27,0;91,0;6,0;2,0;-3,3599999999999994;2,239999999999995;4,038217428519665
27,0;92,0;6,0;2,0;3,0800000000000125;2,799999999999997;4,162499249249189
27,0;93,0;6,0;2,0;1,539999999999992;4,47999999999999;4,737298808392804
27,0;94,0;6,0;2,0;-6,859999999999999;1,1200000000000045;6,950827288891589
27,0;95,0;6,0;2,0;-1,960000000000008;5,460000000000008;5,801137819428195
