Participant;hit;position;series;x [mm];y [mm];distance [mm]
6,0;1,0;1,0;1,0;0,6999999999999886;-0,8400000000000034;1,0934349546269269
6,0;2,0;1,0;1,0;-4,340000000000003;-1,1199999999999903;4,4821869662029945
6,0;3,0;1,0;1,0;-6,159999999999997;3,3599999999999994;7,016779888239331
6,0;4,0;1,0;1,0;-5,319999999999993;7,420000000000002;9,130104051981004
6,0;5,0;1,0;1,0;10,64;-0,5600000000000023;10,654726650646651
6,0;6,0;2,0;1,0;2,519999999999996;-1,2600000000000051;2,817445651649734
6,0;7,0;2,0;1,0;0,14000000000001478;6,439999999999998;6,441521559383308
6,0;8,0;2,0;1,0;8,400000000000006;-1,2600000000000051;8,493974334785815
6,0;9,0;2,0;1,0;-5,460000000000008;-6,159999999999997;8,231476173809899
6,0;10,0;2,0;1,0;-7,97999999999999;8,120000000000005;11,3848495817907
6,0;11,0;3,0;1,0;-2,6599999999999966;-2,240000000000009;3,477527857544785
6,0;12,0;3,0;1,0;5,88000000000001;1,960000000000008;6,198064213930035
6,0;13,0;3,0;1,0;0,980000000000004;-8,959999999999994;9,013434417579122
6,0;14,0;3,0;1,0;9,379999999999995;-6,4399999999999835;11,377961153036148
6,0;15,0;3,0;1,0;14,560000000000002;-4,6200000000000045;15,27540506827888
6,0;16,0;4,0;1,0;-1,960000000000008;0,8400000000000034;2,1324164696419032
6,0;17,0;4,0;1,0;5,179999999999993;-2,519999999999996;5,760451371203468
6,0;18,0;4,0;1,0;-12,040000000000006;-1,2600000000000051;12,105750699564243
6,0;19,0;4,0;1,0;2,3799999999999955;-8,400000000000006;8,730658623494568
6,0;20,0;4,0;1,0;12,88000000000001;-0,4200000000000017;12,8868460066845
6,0;21,0;5,0;1,0;4,47999999999999;-5,88000000000001;7,392212118168689
6,0;22,0;5,0;1,0;7,279999999999987;-5,599999999999994;9,184682901439752
6,0;23,0;5,0;1,0;-2,519999999999996;-7,279999999999987;7,703817235630645
6,0;24,0;5,0;1,0;-0,8400000000000034;7,0;7,050219854727937
6,0;25,0;5,0;1,0;-5,599999999999994;8,960000000000008;10,566058867903399
6,0;26,0;6,0;1,0;-3,5;7,280000000000001;8,077648172580929
6,0;27,0;6,0;1,0;-16,939999999999998;-24,080000000000013;29,441637182738337
6,0;28,0;6,0;1,0;-4,47999999999999;0,5600000000000023;4,514864339047177
6,0;29,0;6,0;1,0;-3,9200000000000017;-1,9599999999999937;4,382693235899587
6,0;30,0;6,0;1,0;2,660000000000011;-1,9599999999999937;3,30411864193767
6,0;31,0;1,0;2,0;5,179999999999993;0,7000000000000028;5,2270833167264446
6,0;32,0;1,0;2,0;2,3799999999999955;-8,400000000000006;8,730658623494568
6,0;33,0;1,0;2,0;4,6200000000000045;-8,539999999999992;9,709582895263829
6,0;34,0;1,0;2,0;-4,6200000000000045;-4,200000000000003;6,243748873873778
6,0;35,0;1,0;2,0;1,539999999999992;-2,660000000000011;3,0736297760140263
6,0;36,0;2,0;2,0;-6,019999999999996;-2,519999999999996;6,526162731651727
6,0;37,0;2,0;2,0;2,660000000000011;-8,11999999999999;8,544588931013585
6,0;38,0;2,0;2,0;2,799999999999997;-13,299999999999997;13,591541487263315
6,0;39,0;2,0;2,0;-1,2600000000000051;4,760000000000005;4,923941510619319
6,0;41,0;3,0;2,0;0,980000000000004;4,8999999999999915;4,9970391233209215
6,0;42,0;3,0;2,0;1,4000000000000057;0,8400000000000034;1,6326665305566908
6,0;43,0;3,0;2,0;-0,4200000000000017;-3,3599999999999994;3,3861482542853905
6,0;44,0;3,0;2,0;0,980000000000004;-6,719999999999999;6,791082387955545
6,0;45,0;3,0;2,0;6,579999999999998;-9,099999999999994;11,229710592887061
6,0;46,0;4,0;2,0;-2,239999999999995;7,0;7,349666659107743
6,0;47,0;4,0;2,0;2,3799999999999955;-0,5600000000000023;2,444994887520213
6,0;48,0;4,0;2,0;5,460000000000008;-0,2799999999999869;5,467174773134666
6,0;49,0;4,0;2,0;7,840000000000003;-6,579999999999998;10,235330966803176
6,0;50,0;4,0;2,0;2,9399999999999977;-11,200000000000003;11,579447309781242
6,0;51,0;5,0;2,0;-10,36;-3,780000000000001;11,028055132252467
6,0;52,0;5,0;2,0;-5,599999999999994;0,28000000000000114;5,606995630460214
6,0;53,0;5,0;2,0;-1,8199999999999932;-0,6999999999999886;1,9499743588057663
6,0;54,0;5,0;2,0;1,539999999999992;-3,500000000000014;3,8238200794493555
6,0;55,0;5,0;2,0;3,500000000000014;-8,959999999999994;9,619334696329055
