Participant;hit;position;series;x [mm];y [mm];distance [mm]
33,0;1,0;1,0;1,0;-1,960000000000008;-0,5600000000000023;2,0384307689985532
33,0;2,0;1,0;1,0;-0,4200000000000017;2,799999999999997;2,831324778261933
33,0;3,0;1,0;1,0;0,8400000000000034;2,519999999999996;2,656313234541436
33,0;4,0;1,0;1,0;1,2600000000000051;4,760000000000005;4,923941510619319
33,0;5,0;1,0;1,0;-0,7000000000000028;5,739999999999995;5,782525399857743
33,0;6,0;2,0;1,0;1,2600000000000051;2,519999999999996;2,817445651649734
33,0;7,0;2,0;1,0;4,200000000000003;-0,14000000000001478;4,202332685545021
33,0;8,0;2,0;1,0;-1,2600000000000051;4,060000000000002;4,251023406192917
33,0;9,0;2,0;1,0;2,660000000000011;6,719999999999999;7,227309319518575
33,0;10,0;2,0;1,0;3,920000000000016;8,260000000000005;9,1429754456632
33,0;11,0;3,0;1,0;0,14000000000001478;5,180000000000007;5,181891546530096
33,0;12,0;3,0;1,0;1,8200000000000074;2,6599999999999966;3,223042041301976
33,0;13,0;3,0;1,0;1,1199999999999903;0,8400000000000034;1,3999999999999944
33,0;14,0;3,0;1,0;2,660000000000011;-0,14000000000001478;2,6636816626616744
33,0;16,0;4,0;1,0;5,88000000000001;2,9399999999999977;6,574039853849389
33,0;17,0;4,0;1,0;3,6400000000000006;4,47999999999999;5,772347875864717
33,0;18,0;4,0;1,0;2,240000000000009;2,9399999999999977;3,6961060590843475
33,0;19,0;4,0;1,0;-0,8400000000000034;-1,1199999999999903;1,3999999999999944
33,0;20,0;4,0;1,0;2,1000000000000085;-5,88000000000001;6,243748873873784
33,0;21,0;5,0;1,0;-2,519999999999996;4,6200000000000045;5,262584916179502
33,0;22,0;5,0;1,0;-0,5600000000000023;3,9200000000000017;3,959797974644668
33,0;23,0;5,0;1,0;-0,7000000000000028;2,239999999999995;2,3468276459936255
33,0;24,0;5,0;1,0;1,6800000000000068;1,6800000000000068;2,3758787847868095
33,0;25,0;5,0;1,0;3,6400000000000006;3,780000000000001;5,247666147917569
33,0;26,0;6,0;1,0;0,6999999999999886;0,14000000000000057;0,7138627319029788
33,0;27,0;6,0;1,0;2,240000000000009;2,6599999999999966;3,477527857544785
33,0;28,0;6,0;1,0;3,6400000000000006;-0,4200000000000017;3,6641506519246727
33,0;31,0;1,0;2,0;0,8400000000000034;1,1200000000000045;1,4000000000000057
33,0;32,0;1,0;2,0;-0,5600000000000023;2,1000000000000085;2,1733844574764123
33,0;33,0;1,0;2,0;-2,1000000000000085;4,47999999999999;4,947767173180236
33,0;34,0;1,0;2,0;2,3799999999999955;5,180000000000007;5,700596460020657
33,0;36,0;2,0;2,0;1,2600000000000051;-3,219999999999999;3,457744929863972
33,0;37,0;2,0;2,0;0,14000000000001478;1,6800000000000068;1,6858232410309295
33,0;38,0;2,0;2,0;2,660000000000011;3,219999999999999;4,176601489249369
33,0;39,0;2,0;2,0;2,240000000000009;4,47999999999999;5,008792269599524
33,0;41,0;3,0;2,0;0,14000000000001478;-1,539999999999992;1,5463505424062098
33,0;42,0;3,0;2,0;-0,4200000000000017;2,3799999999999955;2,4167747102284856
33,0;43,0;3,0;2,0;3,500000000000014;0,8400000000000034;3,599388837011098
33,0;44,0;3,0;2,0;2,240000000000009;3,219999999999999;3,9224992033141364
33,0;46,0;4,0;2,0;0,2799999999999869;-0,14000000000001478;0,3130495168499655
33,0;47,0;4,0;2,0;-1,2600000000000051;2,9399999999999977;3,1986247044628415
33,0;48,0;4,0;2,0;1,2600000000000051;3,5;3,7198924715642
33,0;49,0;4,0;2,0;-1,6800000000000068;-4,200000000000003;4,523538437992989
33,0;51,0;5,0;2,0;-1,1200000000000045;0,14000000000000057;1,1287160847618014
33,0;52,0;5,0;2,0;2,799999999999997;-0,980000000000004;2,966546814058391
33,0;53,0;5,0;2,0;4,759999999999991;1,1200000000000045;4,889989775040426
33,0;54,0;5,0;2,0;6,019999999999996;4,060000000000002;7,261129388738364
33,0;55,0;5,0;2,0;-49,28000000000001;-16,379999999999995;51,93094260650389
