Participant;hit;position;series;x [mm];y [mm];distance [mm]
15,0;1,0;1,0;1,0;7,0;7,420000000000002;10,200803889890249
15,0;2,0;1,0;1,0;7,279999999999987;4,760000000000005;8,698045757525069
15,0;3,0;1,0;1,0;4,6200000000000045;4,760000000000005;6,633400334670002
15,0;4,0;1,0;1,0;3,0800000000000125;3,3599999999999994;4,558069766907926
15,0;5,0;1,0;1,0;3,219999999999999;2,1000000000000085;3,844268460968878
15,0;6,0;1,0;1,0;1,2600000000000051;0,980000000000004;1,5962455951387997
15,0;7,0;1,0;1,0;2,1000000000000085;-0,8400000000000034;2,261769218996501
15,0;8,0;1,0;1,0;-2,239999999999995;-2,240000000000009;3,1678383797157355
15,0;9,0;1,0;1,0;-1,960000000000008;-0,6999999999999886;2,0812496246245944
15,0;10,0;2,0;1,0;15,539999999999992;3,9200000000000017;16,026790071626937
15,0;11,0;2,0;1,0;8,680000000000007;4,200000000000003;9,642738200324644
15,0;12,0;2,0;1,0;6,579999999999998;1,2600000000000051;6,699552223843023
15,0;13,0;2,0;1,0;4,200000000000003;4,47999999999999;6,140879415849161
15,0;14,0;2,0;1,0;-5,739999999999995;0,4200000000000017;5,7553453415064455
15,0;15,0;2,0;1,0;-0,28000000000000114;0,14000000000000057;0,31304951684997184
15,0;16,0;2,0;1,0;-3,3599999999999994;-3,920000000000016;5,162944896084029
15,0;17,0;2,0;1,0;-1,5400000000000063;-1,8200000000000074;2,384114091229706
15,0;19,0;3,0;1,0;-1,8199999999999932;-0,0;1,8199999999999932
15,0;20,0;3,0;1,0;2,3799999999999955;-3,219999999999999;4,004097900901022
15,0;21,0;3,0;1,0;-2,9399999999999977;-4,47999999999999;5,358544578521288
15,0;22,0;3,0;1,0;-0,28000000000000114;-5,88000000000001;5,886662891656028
15,0;23,0;3,0;1,0;6,719999999999999;-1,1199999999999903;6,812694033934004
15,0;24,0;3,0;1,0;4,47999999999999;0,7000000000000028;4,5343577273964515
15,0;25,0;3,0;1,0;3,6400000000000006;4,8999999999999915;6,104064219845653
15,0;26,0;3,0;1,0;11,059999999999988;6,579999999999998;12,869343417595154
15,0;28,0;4,0;1,0;0,980000000000004;-1,9599999999999937;2,1913466179497902
15,0;29,0;4,0;1,0;-0,28000000000000114;2,3799999999999955;2,3964139876073123
15,0;30,0;4,0;1,0;-0,14000000000000057;4,8999999999999915;4,901999592003238
15,0;31,0;4,0;1,0;-1,6800000000000068;-5,88000000000001;6,115292306995646
15,0;32,0;4,0;1,0;2,1000000000000085;11,200000000000003;11,3951744172698
15,0;37,0;5,0;1,0;2,1000000000000085;-11,760000000000005;11,946028628795435
15,0;38,0;5,0;1,0;1,539999999999992;1,8199999999999932;2,384114091229686
15,0;39,0;5,0;1,0;6,4399999999999835;2,519999999999996;6,915489859727925
15,0;40,0;5,0;1,0;6,4399999999999835;6,579999999999998;9,20706250657612
15,0;41,0;5,0;1,0;6,159999999999997;5,460000000000008;8,231476173809899
15,0;42,0;5,0;1,0;4,340000000000018;5,319999999999993;6,865711907733973
15,0;43,0;5,0;1,0;4,060000000000002;3,5;5,360373121341463
15,0;46,0;6,0;1,0;-3,780000000000001;0,8400000000000034;3,8722086720630147
