Participant;hit;position;series;x [mm];y [mm];distance [mm]
21,0;1,0;1,0;1,0;11,200000000000003;-12,319999999999993;16,649996996996723
21,0;2,0;1,0;1,0;-4,340000000000003;3,3599999999999994;5,4886428194955466
21,0;3,0;1,0;1,0;4,47999999999999;4,8999999999999915;6,639307192772438
21,0;4,0;1,0;1,0;6,719999999999999;-0,4200000000000017;6,733112207590186
21,0;5,0;1,0;1,0;3,6400000000000006;-0,980000000000004;3,7696153649941544
21,0;6,0;1,0;1,0;0,980000000000004;-4,47999999999999;4,585935019164567
21,0;7,0;1,0;1,0;3,0800000000000125;-6,300000000000011;7,012588680366203
21,0;8,0;1,0;1,0;-0,8400000000000034;4,060000000000002;4,14598601058904
21,0;9,0;1,0;1,0;-0,4200000000000017;2,9399999999999977;2,9698484809834977
21,0;10,0;2,0;1,0;0,2799999999999869;-0,8400000000000034;0,8854377448471453
21,0;11,0;2,0;1,0;6,579999999999998;2,519999999999996;7,046048538010504
21,0;12,0;2,0;1,0;9,240000000000009;2,1000000000000085;9,475631905049932
21,0;13,0;2,0;1,0;9,240000000000009;-1,1199999999999903;9,307631277613018
21,0;14,0;2,0;1,0;2,1000000000000085;-3,3599999999999994;3,9622720754637775
21,0;15,0;2,0;1,0;3,780000000000001;-3,219999999999999;4,965561398271096
21,0;16,0;2,0;1,0;5,319999999999993;-3,3599999999999994;6,292217415188379
21,0;17,0;2,0;1,0;3,0800000000000125;-6,300000000000011;7,012588680366203
21,0;19,0;3,0;1,0;-5,460000000000008;-6,4399999999999835;8,44305631865617
21,0;20,0;3,0;1,0;11,760000000000005;-7,140000000000001;13,757805057493734
21,0;21,0;3,0;1,0;0,4200000000000017;-8,680000000000007;8,690155349589563
21,0;22,0;3,0;1,0;1,6800000000000068;-9,240000000000009;9,391485505499126
21,0;23,0;3,0;1,0;8,11999999999999;-6,300000000000011;10,277373205250454
21,0;24,0;3,0;1,0;3,219999999999999;-6,859999999999985;7,578126417525627
21,0;25,0;3,0;1,0;3,500000000000014;-5,739999999999995;6,722916033984066
21,0;26,0;3,0;1,0;3,920000000000016;-4,47999999999999;5,9528816551314065
21,0;27,0;3,0;1,0;3,0800000000000125;3,6400000000000006;4,768228182459401
21,0;28,0;4,0;1,0;2,660000000000011;12,460000000000008;12,740769207547881
21,0;29,0;4,0;1,0;5,739999999999995;7,140000000000001;9,161178963430414
21,0;30,0;4,0;1,0;1,2600000000000051;6,859999999999999;6,974754475965445
21,0;31,0;4,0;1,0;6,019999999999996;0,7000000000000028;6,060561030135737
21,0;32,0;4,0;1,0;4,47999999999999;-2,519999999999996;5,140116730192019
21,0;33,0;4,0;1,0;3,780000000000001;5,319999999999993;6,526162731651728
21,0;37,0;5,0;1,0;0,4200000000000017;3,0799999999999983;3,1085044635644308
21,0;38,0;5,0;1,0;4,060000000000002;0,8400000000000034;4,14598601058904
