Participant;hit;position;series;x [mm];y [mm];distance [mm]
25,0;1,0;1,0;1,0;0,8400000000000034;-2,799999999999997;2,9232858224949525
25,0;2,0;1,0;1,0;1,539999999999992;3,780000000000001;4,081666326391709
25,0;3,0;1,0;1,0;4,6200000000000045;0,14000000000000057;4,622120725381374
25,0;4,0;1,0;1,0;-1,2600000000000051;-5,179999999999993;5,33104117410473
25,0;5,0;1,0;1,0;7,980000000000004;-0,0;7,980000000000004
25,0;6,0;1,0;1,0;6,579999999999998;8,680000000000007;10,892143957917563
25,0;10,0;2,0;1,0;-3,219999999999999;-0,5600000000000023;3,26833290838005
25,0;11,0;2,0;1,0;3,3599999999999994;-2,799999999999997;4,373739818507724
25,0;12,0;2,0;1,0;0,5600000000000023;4,760000000000005;4,792827975214638
25,0;13,0;2,0;1,0;-6,019999999999996;-3,219999999999999;6,827063790532497
25,0;14,0;2,0;1,0;6,859999999999985;5,040000000000006;8,512414463593737
25,0;15,0;2,0;1,0;2,519999999999996;-0,8400000000000034;2,656313234541436
25,0;16,0;2,0;1,0;7,140000000000001;-2,240000000000009;7,483127688339953
25,0;17,0;2,0;1,0;-1,6800000000000068;2,1000000000000085;2,6893121797218074
25,0;18,0;2,0;1,0;5,739999999999995;-4,47999999999999;7,281346029409662
25,0;19,0;3,0;1,0;0,5600000000000023;-2,240000000000009;2,3089391503458994
25,0;20,0;3,0;1,0;3,500000000000014;-0,6999999999999886;3,569313659514961
25,0;21,0;3,0;1,0;7,560000000000002;4,060000000000002;8,581212035604297
25,0;22,0;3,0;1,0;7,140000000000001;-8,539999999999992;11,131540773855157
25,0;23,0;3,0;1,0;11,200000000000003;3,780000000000001;11,820676799574553
25,0;24,0;3,0;1,0;-3,5;-1,6800000000000068;3,8823188946813763
25,0;25,0;3,0;1,0;11,47999999999999;-5,599999999999994;12,773034095311877
25,0;26,0;3,0;1,0;9,66000000000001;-13,579999999999998;16,66529327674734
25,0;27,0;3,0;1,0;6,159999999999997;-16,099999999999994;17,238201762364884
25,0;28,0;4,0;1,0;-0,14000000000000057;-1,539999999999992;1,5463505424062085
25,0;29,0;4,0;1,0;0,980000000000004;2,6599999999999966;2,83478394238432
25,0;30,0;4,0;1,0;1,8200000000000074;3,3599999999999994;3,821256337907734
25,0;31,0;4,0;1,0;-0,8400000000000034;5,180000000000007;5,247666147917575
25,0;32,0;4,0;1,0;4,8999999999999915;8,540000000000006;9,845892544609656
25,0;37,0;5,0;1,0;0,980000000000004;1,960000000000008;2,1913466179498027
25,0;38,0;5,0;1,0;-3,3599999999999994;-0,5600000000000023;3,4063470169670027
