Participant;hit;position;series;x [mm];y [mm];distance [mm]
20,0;1,0;1,0;1,0;-1,1200000000000045;-0,6999999999999886;1,3207573584879224
20,0;2,0;1,0;1,0;3,3599999999999994;1,1200000000000045;3,5417509793885857
20,0;3,0;1,0;1,0;0,2799999999999869;-12,460000000000008;12,463145670335406
20,0;4,0;1,0;1,0;5,460000000000008;-12,739999999999995;13,86070705267231
20,0;5,0;1,0;1,0;-4,060000000000002;-21,0;21,388866262614297
20,0;8,0;2,0;1,0;3,0800000000000125;-1,8200000000000074;3,577541054970593
20,0;9,0;2,0;1,0;1,539999999999992;2,239999999999995;2,7183082974526553
20,0;10,0;2,0;1,0;-0,8400000000000034;4,760000000000005;4,833549420456985
20,0;11,0;2,0;1,0;-2,519999999999996;7,420000000000002;7,836249102727657
20,0;12,0;2,0;1,0;-5,460000000000008;-1,539999999999992;5,673023885019352
20,0;15,0;3,0;1,0;-1,8199999999999932;2,9399999999999977;3,4577449298639658
20,0;16,0;3,0;1,0;1,9599999999999937;3,780000000000001;4,257933771208752
20,0;17,0;3,0;1,0;-7,840000000000003;-3,219999999999999;8,475494085892576
20,0;18,0;3,0;1,0;-3,780000000000001;-9,939999999999998;10,634472248306446
20,0;19,0;3,0;1,0;-5,460000000000008;-11,47999999999999;12,712277530010107
20,0;22,0;4,0;1,0;-2,9399999999999977;3,5;4,57095176084806
20,0;23,0;4,0;1,0;-2,799999999999997;-3,920000000000016;4,817302149543882
20,0;24,0;4,0;1,0;4,340000000000018;2,3799999999999955;4,949747468305846
20,0;25,0;4,0;1,0;9,66000000000001;1,3999999999999915;9,76092208758989
20,0;26,0;4,0;1,0;9,379999999999995;3,0799999999999983;9,872730118867825
20,0;29,0;5,0;1,0;2,519999999999996;-1,4000000000000057;2,8827764394763595
20,0;30,0;5,0;1,0;5,040000000000006;-0,4200000000000017;5,057469723092771
20,0;31,0;5,0;1,0;7,840000000000003;-8,260000000000005;11,388292233693344
20,0;32,0;5,0;1,0;-9,239999999999995;-17,92;20,161944350682052
20,0;36,0;6,0;1,0;-3,219999999999999;-0,2799999999999869;3,2321509865722526
20,0;37,0;6,0;1,0;-0,7000000000000028;5,88000000000001;5,921520075115858
20,0;38,0;6,0;1,0;1,1199999999999903;3,780000000000001;3,942435795292041
20,0;39,0;6,0;1,0;0,980000000000004;-0,4200000000000017;1,0662082348209516
20,0;40,0;6,0;1,0;1,4000000000000057;-3,6400000000000006;3,8999487176115557
20,0;43,0;1,0;2,0;3,780000000000001;-0,2799999999999869;3,7903561837906476
20,0;44,0;1,0;2,0;0,6999999999999886;-0,5600000000000023;0,8964373932405914
20,0;45,0;1,0;2,0;-3,0799999999999983;-8,260000000000005;8,815554435201456
20,0;46,0;1,0;2,0;-7,840000000000003;-26,73999999999998;27,865627572333608
20,0;50,0;2,0;2,0;-0,980000000000004;4,47999999999999;4,585935019164567
20,0;51,0;2,0;2,0;-3,9200000000000017;-4,8999999999999915;6,275061752684186
20,0;52,0;2,0;2,0;-4,200000000000003;6,019999999999996;7,340326968194263
20,0;53,0;2,0;2,0;7,279999999999987;7,0;10,099425726247993
20,0;54,0;2,0;2,0;-5,88000000000001;-28,28;28,88481954245171
20,0;57,0;3,0;2,0;-2,1000000000000085;5,599999999999994;5,980802621722269
20,0;58,0;3,0;2,0;-1,2600000000000051;3,0799999999999983;3,3277620107213197
20,0;59,0;3,0;2,0;-1,8199999999999932;-2,519999999999996;3,108504463564425
20,0;60,0;3,0;2,0;-0,28000000000000114;-5,040000000000006;5,047771785649592
20,0;61,0;3,0;2,0;1,539999999999992;-8,539999999999992;8,677741641694562
20,0;62,0;3,0;2,0;2,799999999999997;2,519999999999996;3,767014733180634
20,0;64,0;4,0;2,0;-0,7000000000000028;-2,519999999999996;2,6154158369177134
20,0;65,0;4,0;2,0;2,519999999999996;-5,040000000000006;5,634891303299474
20,0;66,0;4,0;2,0;-2,799999999999997;-5,739999999999995;6,386517047655938
20,0;67,0;4,0;2,0;2,799999999999997;6,579999999999998;7,150971961908392
20,0;68,0;4,0;2,0;7,140000000000001;5,460000000000008;8,988392514793738
20,0;71,0;5,0;2,0;-2,3799999999999955;2,1000000000000085;3,1740195336513
20,0;72,0;5,0;2,0;-4,6200000000000045;-0,980000000000004;4,722795782161246
20,0;73,0;5,0;2,0;-6,439999999999998;-3,219999999999999;7,20013888754932
20,0;74,0;5,0;2,0;5,319999999999993;-5,88000000000001;7,929489264763528
20,0;75,0;5,0;2,0;13,159999999999997;-0,0;13,159999999999997
20,0;78,0;6,0;2,0;3,500000000000014;2,3799999999999955;4,232540608192682
20,0;79,0;6,0;2,0;3,920000000000016;1,5400000000000063;4,211650507817588
20,0;80,0;6,0;2,0;0,980000000000004;-6,159999999999997;6,237467434784727
20,0;81,0;6,0;2,0;2,240000000000009;-7,420000000000002;7,750741899973193
20,0;82,0;6,0;2,0;-10,64;-6,859999999999985;12,659747232863689
20,0;83,0;6,0;2,0;-1,5400000000000063;-2,240000000000009;2,718308297452675
20,0;84,0;6,0;2,0;-0,8400000000000034;-3,219999999999999;3,3277620107213193
