,Participant,hit,position,series,x,y,distance,mode,Hammer
8,9.0,8.0,5.0,1.0,3.972522,-20.45699,20.83913,VR,mittel
9,9.0,9.0,5.0,1.0,9.438544,-9.602319,13.46442,VR,mittel
10,9.0,10.0,5.0,1.0,-3.18937,-16.13057,16.44285,VR,mittel
11,9.0,11.0,2.0,2.0,-14.37966,-9.77212,17.38588,VR,mittel
12,9.0,12.0,2.0,2.0,16.16915,-3.122352,16.46786,VR,mittel
13,9.0,13.0,2.0,2.0,5.500624,-21.01995,21.72775,VR,mittel
14,9.0,14.0,2.0,2.0,-1.552384,-14.84389,14.92485,VR,mittel
15,9.0,15.0,2.0,2.0,-4.814508,-7.571393,8.972485,VR,mittel
16,9.0,16.0,5.0,2.0,-4.315336,-14.53332,15.16046,VR,mittel
17,9.0,17.0,5.0,2.0,6.132518,-7.355338,9.576469,VR,mittel
18,9.0,18.0,5.0,2.0,-0.8558395,-1.22507,1.494409,VR,mittel
19,9.0,19.0,5.0,2.0,4.447894,-2.482447,5.093752,VR,mittel
20,9.0,20.0,5.0,2.0,13.25553,-2.368761,13.46551,VR,mittel
21,9.0,21.0,1.0,1.0,8.779991,-13.69675,16.26927,VR,leicht
22,9.0,22.0,1.0,1.0,1.64319,9.264052,9.408653,VR,leicht
23,9.0,23.0,1.0,1.0,5.522978,5.723702,7.953871,VR,leicht
24,9.0,24.0,1.0,1.0,4.363111,-7.520369,8.694406,VR,leicht
25,9.0,25.0,1.0,1.0,3.800903,8.190798,9.02973,VR,leicht
26,9.0,26.0,4.0,1.0,5.508745,-15.69801,16.63652,VR,leicht
27,9.0,27.0,4.0,1.0,11.01989,-3.348373,11.51736,VR,leicht
28,9.0,28.0,4.0,1.0,13.95569,-9.142,16.68344,VR,leicht
29,9.0,29.0,4.0,1.0,14.36267,-14.55576,20.44887,VR,leicht
30,9.0,30.0,4.0,1.0,-3.953767,-2.327747,4.588102,VR,leicht
31,9.0,31.0,1.0,2.0,2.56382,-7.328172,7.763715,VR,leicht
32,9.0,32.0,1.0,2.0,6.840999,-10.99171,12.9467,VR,leicht
33,9.0,33.0,1.0,2.0,-4.210953,-1.326283,4.414878,VR,leicht
34,9.0,34.0,1.0,2.0,-2.62163,-6.093958,6.633948,VR,leicht
35,9.0,35.0,1.0,2.0,2.641473,3.173805,4.129215,VR,leicht
36,9.0,36.0,4.0,2.0,5.696567,-6.772563,8.849772,VR,leicht
37,9.0,37.0,4.0,2.0,3.769044,-2.88946,4.749176,VR,leicht
38,9.0,38.0,4.0,2.0,5.291862,-2.80212,5.987961,VR,leicht
39,9.0,39.0,4.0,2.0,5.833674,-7.803444,9.742971,VR,leicht
40,9.0,40.0,4.0,2.0,7.625039,-16.86106,18.50504,VR,leicht
41,9.0,41.0,3.0,1.0,-4.954474,8.431538,9.77945,VR,schwer
42,9.0,42.0,3.0,1.0,4.527575,1.054659,4.648789,VR,schwer
43,9.0,43.0,3.0,1.0,10.11058,-1.117913,10.1722,VR,schwer
44,9.0,44.0,3.0,1.0,9.135296,5.212997,10.51803,VR,schwer
45,9.0,45.0,3.0,1.0,-1.260065,-1.441034,1.914247,VR,schwer
46,9.0,46.0,6.0,1.0,8.492831,-6.91739,10.95347,VR,schwer
47,9.0,47.0,6.0,1.0,0.3021093,1.443259,1.47454,VR,schwer
48,9.0,48.0,6.0,1.0,5.907358,-0.2806369,5.91402,VR,schwer
49,9.0,49.0,6.0,1.0,11.05044,0.5246612,11.06289,VR,schwer
50,9.0,50.0,6.0,1.0,15.90568,9.644118,18.60107,VR,schwer
51,9.0,51.0,3.0,2.0,2.411213,-6.37629,6.816966,VR,schwer
52,9.0,52.0,3.0,2.0,-1.203766,-8.849805,8.931299,VR,schwer
53,9.0,53.0,3.0,2.0,5.646793,7.837624,9.659948,VR,schwer
54,9.0,54.0,3.0,2.0,5.377353,6.792568,8.663424,VR,schwer
55,9.0,55.0,3.0,2.0,5.28759,-4.830545,7.161897,VR,schwer
56,9.0,56.0,6.0,2.0,8.573912,-3.962823,9.445418,VR,schwer
57,9.0,57.0,6.0,2.0,4.408343,-4.597157,6.369249,VR,schwer
58,9.0,58.0,6.0,2.0,15.39007,-8.783408,17.72012,VR,schwer
59,9.0,59.0,6.0,2.0,8.592714,-3.513741,9.283379,VR,schwer
60,9.0,60.0,6.0,2.0,7.187019,2.429364,7.586505,VR,schwer
1,1.0,1.0,3.0,1.0,4.558017,26.10553,26.50046,VR,schwer
2,1.0,2.0,3.0,1.0,14.32806,6.744311,15.836,VR,schwer
3,1.0,3.0,3.0,1.0,20.16127,10.54524,22.75256,VR,schwer
4,1.0,4.0,3.0,1.0,13.85959,12.0371,18.35701,VR,schwer
5,1.0,5.0,3.0,1.0,16.52985,24.42059,29.489,VR,schwer
6,1.0,6.0,6.0,1.0,20.98416,7.674501,22.34352,VR,schwer
7,1.0,7.0,6.0,1.0,13.16132,0.2197327,13.16315,VR,schwer
8,1.0,8.0,6.0,1.0,14.10371,2.620703,14.34513,VR,schwer
9,1.0,9.0,6.0,1.0,21.863,-10.45005,24.23209,VR,schwer
10,1.0,10.0,6.0,1.0,22.24499,8.547548,23.83066,VR,schwer
11,1.0,11.0,3.0,2.0,8.479667,13.91257,16.29308,VR,schwer
12,1.0,12.0,3.0,2.0,-4.08052,5.098391,6.530255,VR,schwer
13,1.0,13.0,3.0,2.0,19.12273,10.29802,21.7193,VR,schwer
14,1.0,14.0,3.0,2.0,18.4973,17.14354,25.22005,VR,schwer
15,1.0,15.0,3.0,2.0,8.622558,3.337016,9.245766,VR,schwer
16,1.0,16.0,6.0,2.0,7.3566,-7.596704,10.57495,VR,schwer
17,1.0,17.0,6.0,2.0,27.0606,8.321564,28.31121,VR,schwer
18,1.0,18.0,6.0,2.0,-22.01602,16.65371,27.60527,VR,schwer
19,1.0,19.0,6.0,2.0,24.49785,-9.239507,26.1823,VR,schwer
20,1.0,20.0,6.0,2.0,13.21005,-1.535295,13.29897,VR,schwer
21,1.0,21.0,1.0,1.0,-0.3801238,20.5851,20.58861,VR,leicht
22,1.0,22.0,1.0,1.0,-2.695422,6.933692,7.439179,VR,leicht
23,1.0,23.0,1.0,1.0,9.808055,7.312598,12.23405,VR,leicht
24,1.0,24.0,1.0,1.0,4.960982,-9.60216,10.808,VR,leicht
25,1.0,25.0,1.0,1.0,16.17322,4.3886,16.75807,VR,leicht
26,1.0,26.0,4.0,1.0,16.60802,8.333876,18.58171,VR,leicht
27,1.0,27.0,4.0,1.0,0.8010717,3.13238,3.23319,VR,leicht
28,1.0,28.0,4.0,1.0,8.213573,-1.307694,8.31702,VR,leicht
29,1.0,29.0,4.0,1.0,4.996326,11.18694,12.25198,VR,leicht
30,1.0,30.0,4.0,1.0,11.78116,14.13378,18.39999,VR,leicht
31,1.0,31.0,1.0,2.0,22.3942,47.34713,52.37605,VR,leicht
32,1.0,32.0,1.0,2.0,-1.098201,6.388485,6.482191,VR,leicht
33,1.0,33.0,1.0,2.0,3.590532,4.845407,6.030746,VR,leicht
34,1.0,34.0,1.0,2.0,3.307647,-0.06457674,3.308278,VR,leicht
35,1.0,35.0,1.0,2.0,16.8959,9.594037,19.4298,VR,leicht
36,1.0,36.0,4.0,2.0,10.59869,-2.521668,10.89454,VR,leicht
37,1.0,37.0,4.0,2.0,2.497412,3.820714,4.564529,VR,leicht
38,1.0,38.0,4.0,2.0,10.77719,8.563198,13.76503,VR,leicht
39,1.0,39.0,4.0,2.0,-4.087574,-0.2573779,4.095668,VR,leicht
40,1.0,40.0,4.0,2.0,14.33157,8.551951,16.68921,VR,leicht
41,1.0,41.0,2.0,1.0,-12.89965,25.6131,28.67807,VR,mittel
42,1.0,42.0,2.0,1.0,3.841002,-0.4157721,3.86344,VR,mittel
43,1.0,43.0,2.0,1.0,9.79854,8.978354,13.28993,VR,mittel
44,1.0,44.0,2.0,1.0,-9.062848,3.725503,9.798704,VR,mittel
45,1.0,45.0,2.0,1.0,6.619163,12.43968,14.0911,VR,mittel
46,1.0,46.0,5.0,1.0,13.73345,0.07849065,13.73368,VR,mittel
47,1.0,47.0,5.0,1.0,5.711642,8.348263,10.11515,VR,mittel
48,1.0,48.0,5.0,1.0,0.6083936,20.70795,20.71688,VR,mittel
49,1.0,49.0,5.0,1.0,1.773781,10.24196,10.39442,VR,mittel
50,1.0,50.0,5.0,1.0,9.110684,11.17975,14.42191,VR,mittel
51,1.0,51.0,2.0,2.0,-4.69977,7.838394,9.13938,VR,mittel
52,1.0,52.0,2.0,2.0,-8.252443,-1.525826,8.392316,VR,mittel
53,1.0,53.0,2.0,2.0,10.68108,0.1186734,10.68174,VR,mittel
54,1.0,54.0,2.0,2.0,11.28288,3.386596,11.78017,VR,mittel
55,1.0,55.0,2.0,2.0,5.72677,14.32313,15.42556,VR,mittel
56,1.0,56.0,5.0,2.0,-12.29448,7.182932,14.23898,VR,mittel
57,1.0,57.0,5.0,2.0,2.694493,12.18007,12.47455,VR,mittel
58,1.0,58.0,5.0,2.0,-1.995458,18.46383,18.57135,VR,mittel
59,1.0,59.0,5.0,2.0,11.2734,1.041027,11.32136,VR,mittel
60,1.0,60.0,5.0,2.0,5.631904,22.55619,23.24866,VR,mittel
1,16.0,1.0,3.0,1.0,0.3938552,37.71348,37.71554,VR,schwer
2,16.0,2.0,3.0,1.0,-0.007641028,1.155324,1.155349,VR,schwer
3,16.0,3.0,3.0,1.0,10.21632,-8.310039,13.16928,VR,schwer
4,16.0,4.0,3.0,1.0,3.500005,-5.666057,6.659897,VR,schwer
5,16.0,5.0,3.0,1.0,4.610851,-1.624731,4.888731,VR,schwer
6,16.0,6.0,6.0,1.0,10.9253,6.752138,12.84342,VR,schwer
7,16.0,7.0,6.0,1.0,-4.70941,-5.682228,7.380126,VR,schwer
8,16.0,8.0,6.0,1.0,49.69599,-16.48897,52.36008,VR,schwer
9,16.0,9.0,6.0,1.0,-2.852326,-6.568803,7.16135,VR,schwer
10,16.0,10.0,6.0,1.0,3.595641,11.9911,12.51859,VR,schwer
11,16.0,11.0,3.0,2.0,4.740725,-5.085977,6.952814,VR,schwer
12,16.0,12.0,3.0,2.0,-3.746958,3.198324,4.926354,VR,schwer
13,16.0,13.0,3.0,2.0,7.017601,-7.842051,10.52352,VR,schwer
14,16.0,14.0,3.0,2.0,-1.647459,12.80013,12.90571,VR,schwer
15,16.0,15.0,3.0,2.0,31.90905,-13.69517,34.72384,VR,schwer
16,16.0,16.0,6.0,2.0,1.186996,-5.440862,5.568837,VR,schwer
17,16.0,17.0,6.0,2.0,7.679079,-15.78901,17.55736,VR,schwer
18,16.0,18.0,6.0,2.0,-7.959093,-15.40339,17.33815,VR,schwer
19,16.0,19.0,6.0,2.0,1.507203,0.1718964,1.516973,VR,schwer
20,16.0,20.0,6.0,2.0,-21.68125,6.300879,22.57826,VR,schwer
21,16.0,21.0,1.0,1.0,-0.8900487,4.963937,5.043099,VR,leicht
22,16.0,22.0,1.0,1.0,-4.913934,-6.97603,8.53298,VR,leicht
23,16.0,23.0,1.0,1.0,2.003206,7.722463,7.978049,VR,leicht
24,16.0,24.0,1.0,1.0,-2.099118,-9.210726,9.446891,VR,leicht
25,16.0,25.0,1.0,1.0,-0.05452271,-1.072147,1.073532,VR,leicht
26,16.0,26.0,4.0,1.0,2.502016,-7.514191,7.919795,VR,leicht
27,16.0,27.0,4.0,1.0,3.004395,-13.65388,13.98051,VR,leicht
28,16.0,28.0,4.0,1.0,-9.900418,-12.09,15.62647,VR,leicht
29,16.0,29.0,4.0,1.0,25.11273,-14.25362,28.87585,VR,leicht
30,16.0,30.0,4.0,1.0,-17.21934,-1.668728,17.30001,VR,leicht
